Word	Label	Schema
love	positive	sentiment_phrases
adore	positive	sentiment_phrases
amazing	positive	sentiment_phrases
wonderful	positive	sentiment_phrases
excellent	positive	sentiment_phrases
happy	positive	sentiment_phrases
fantastic	positive	sentiment_phrases
delighted	positive	sentiment_phrases
thrilled	positive	sentiment_phrases
great	positive	sentiment_phrases
incredible	positive	sentiment_phrases
exceptional	positive	sentiment_phrases
impressive	positive	sentiment_phrases
remarkable	positive	sentiment_phrases
recommend	positive	sentiment_phrases
perfection	positive	sentiment_phrases
beautiful	positive	sentiment_phrases
reliable	positive	sentiment_phrases
terrible	negative	sentiment_phrases
disappointing	negative	sentiment_phrases
hate	negative	sentiment_phrases
bad	negative	sentiment_phrases
awful	negative	sentiment_phrases
poor	negative	sentiment_phrases
frustrating	negative	sentiment_phrases
disappointed	negative	sentiment_phrases
defective	negative	sentiment_phrases
unhelpful	negative	sentiment_phrases
rude	negative	sentiment_phrases
nightmare	negative	sentiment_phrases
inedible	negative	sentiment_phrases
cheap	negative	sentiment_phrases
underwhelming	negative	sentiment_phrases
cringeworthy	negative	sentiment_phrases
unsatisfying	negative	sentiment_phrases
regret	negative	sentiment_phrases
waste	negative	sentiment_phrases
