Word	Label	Schema
the	product	entities
love	positive	entities
amazing	positive	entities
excellent	positive	entities
outstanding	positive	entities
great	positive	entities
incredible	positive	entities
gorgeous	positive	entities
beautiful	positive	entities
recommend	positive	entities
terrible	negative	entities
disappointing	negative	entities
poor	negative	entities
unhelpful	negative	entities
damaged	negative	entities
mediocre	negative	entities
confusing	negative	entities
keyboard	product	entities
laptop	product	entities
headphones	product	entities
display	product	entities
battery	product	entities
Bluetooth	product	entities
webcam	product	entities
quality	quality	entities
performance	quality	entities
value	quality	entities
