Word	Label	Schema
justices	Legality, Constitutionality, Jurisdiction	Issue-General
circuit*	Legality, Constitutionality, Jurisdiction	Issue-General
court*	Legality, Constitutionality, Jurisdiction	Issue-General
supreme	Legality, Constitutionality, Jurisdiction	Issue-General
appeal*	Legality, Constitutionality, Jurisdiction	Issue-General
lawsuit*	Legality, Constitutionality, Jurisdiction	Issue-General
jurisdiction	Legality, Constitutionality, Jurisdiction	Issue-General
sued	Legality, Constitutionality, Jurisdiction	Issue-General
judge*	Legality, Constitutionality, Jurisdiction	Issue-General
unconstitutional	Legality, Constitutionality, Jurisdiction	Issue-General
ruling	Legality, Constitutionality, Jurisdiction	Issue-General
upheld	Legality, Constitutionality, Jurisdiction	Issue-General
constitution*	Legality, Constitutionality, Jurisdiction	Issue-General
attorney*	Legality, Constitutionality, Jurisdiction	Issue-General
counsel	Legality, Constitutionality, Jurisdiction	Issue-General
judicial	Legality, Constitutionality, Jurisdiction	Issue-General
lawyer*	Legality, Constitutionality, Jurisdiction	Issue-General
jury	Legality, Constitutionality, Jurisdiction	Issue-General
amendment*	Legality, Constitutionality, Jurisdiction	Issue-General
citizenship*	Legality, Constitutionality, Jurisdiction	Issue-General
visa*	Legality, Constitutionality, Jurisdiction	Issue-General
passport*	Legality, Constitutionality, Jurisdiction	Issue-General
documents	Legality, Constitutionality, Jurisdiction	Issue-General
documentation	Legality, Constitutionality, Jurisdiction	Issue-General
license*	Legality, Constitutionality, Jurisdiction	Issue-General
asylum	Legality, Constitutionality, Jurisdiction	Issue-General
amnesty	Legality, Constitutionality, Jurisdiction	Issue-General
prosecut*	Legality, Constitutionality, Jurisdiction	Issue-General
scotus	Legality, Constitutionality, Jurisdiction	Issue-General
dreams	Quality of Life	Issue-General
quality	Quality of Life	Issue-General
suffer*	Quality of Life	Issue-General
food stamp*	Quality of Life	Issue-General
happy	Quality of Life	Issue-General
happi*	Quality of Life	Issue-General
unhappi*	Quality of Life	Issue-General
unhappy	Quality of Life	Issue-General
hardship*	Quality of Life	Issue-General
culture*	Cultural Identity	Issue-General
heritage*	Cultural Identity	Issue-General
cultural	Cultural Identity	Issue-General
census	Cultural Identity	Issue-General
language*	Cultural Identity	Issue-General
spanish-language	Cultural Identity	Issue-General
population*	Cultural Identity	Issue-General
generation*	Cultural Identity	Issue-General
diverse	Cultural Identity	Issue-General
diversity	Cultural Identity	Issue-General
foreign-born	Cultural Identity	Issue-General
ethnic*	Cultural Identity	Issue-General
book	Cultural Identity	Issue-General
