Paper ID,Section,Paragraph ID,Line ID,News URL,News ID,DOI,Paper Context,News Context,Paper Finding,News Finding,Matching?,Similarity score,text,id
5569263,De Novo CNVs and LoF SNVs Converge on Functional Gene Networks,33,2,http://www.newswise.com/articles/mount-sinai-researchers-identify-genetic-alterations-in-shared-biological-pathways-as-major-risk-factor-for-autism-spectrum-disorder,6,10.1016/j.ajhg.2014.03.018,"We found that compared to the 54 ASD-implicated genes, the newly selected 97 CNV or SNV genes had a comparably high pHI (median pHI ¼ 0.58, Figure 6A ). This is consistent with the observation that ASD subjects have more deletions with haploinsufficient genes than do controls ( Figure 6B ). Furthermore, similar to genes with known disease-causing mutations ( Figure 6C ), those genes have high functionalindispensability scores and a comparable high degree of centrality (i.e., high number of direct neighbors) and number of networks in which they are involved (Figures 6D and  6E) .","The researchers reported numerous CNVs affecting genes, and found that these genes are part of similar cellular pathways involved in brain development, synapse function and chromatin regulation. Individuals with ASD carried more of these CNVs than individuals in the control group, and some of them were inherited while others were only present in offspring with ASD. By further aggregating CNVs and SNVs (the latter identified in other studies), Mount Sinai researchers discovered many additional genes and pathways involved in ASD.",This is consistent with the observation that ASD subjects have more deletions with haploinsufficient genes than do controls ( Figure 6B ).,"Individuals with ASD carried more of these CNVs than individuals in the control group, and some of them were inherited while others were only present in offspring with ASD.",,0.6372326016426086,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The researchers reported numerous CNVs affecting genes, and found that these genes are part of similar cellular pathways involved in brain development, synapse function and chromatin regulation. Individuals with ASD carried more of these CNVs than individuals in the control group, and some of them were inherited while others were only present in offspring with ASD. By further aggregating CNVs and SNVs (the latter identified in other studies), Mount Sinai researchers discovered many additional genes and pathways involved in ASD."">Individuals with ASD carried more of these CNVs than individuals in the control group, and some of them were inherited while others were only present in offspring with ASD.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that compared to the 54 ASD-implicated genes, the newly selected 97 CNV or SNV genes had a comparably high pHI (median pHI ¼ 0.58, Figure 6A ). This is consistent with the observation that ASD subjects have more deletions with haploinsufficient genes than do controls ( Figure 6B ). Furthermore, similar to genes with known disease-causing mutations ( Figure 6C ), those genes have high functionalindispensability scores and a comparable high degree of centrality (i.e., high number of direct neighbors) and number of networks in which they are involved (Figures 6D and  6E) ."">This is consistent with the observation that ASD subjects have more deletions with haploinsufficient genes than do controls ( Figure 6B ).</span>'}",Biology_0
177947,Large Gene Family Expansions in the Parachlamydiaceae,14,3,http://www.sciencedaily.com/releases/2014/10/141014085130.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29,3,10.1093/molbev/msu227,"Notably, different gene families are expanded in Neochlamydia and Protochlamydia ( fig. These represent the four largest gene families (containing between 27 and 138 members) found within the phylum and include two gene families specific to Neochlamydia and two restricted to Protochlamydia. The genomes of the Chlamydiaceae have relatively small gene family sizes.","They found an extensive and robust shuffling of the genomic deck between chlamydia families has played a major role in the evolution of the pathogen, often serving to outwit and exploit its hosts. They also identified genomic hotspots that seem to play a key role in adaptation and survival, with many having an unknown function. Of note, these gene families were most commonly found to have specific protein features gained from their eukaryotic hosts.",These represent the four largest gene families (containing between 27 and 138 members) found within the phylum and include two gene families specific to Neochlamydia and two restricted to Protochlamydia.,"They found an extensive and robust shuffling of the genomic deck between chlamydia families has played a major role in the evolution of the pathogen, often serving to outwit and exploit its hosts.",,0.6068053245544434,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: They found an extensive and robust shuffling of the genomic deck between chlamydia families has played a major role in the evolution of the pathogen, often serving to outwit and exploit its hosts. They also identified genomic hotspots that seem to play a key role in adaptation and survival, with many having an unknown function. Of note, these gene families were most commonly found to have specific protein features gained from their eukaryotic hosts."">They found an extensive and robust shuffling of the genomic deck between chlamydia families has played a major role in the evolution of the pathogen, often serving to outwit and exploit its hosts.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Notably, different gene families are expanded in Neochlamydia and Protochlamydia ( fig. These represent the four largest gene families (containing between 27 and 138 members) found within the phylum and include two gene families specific to Neochlamydia and two restricted to Protochlamydia. The genomes of the Chlamydiaceae have relatively small gene family sizes."">These represent the four largest gene families (containing between 27 and 138 members) found within the phylum and include two gene families specific to Neochlamydia and two restricted to Protochlamydia.</span>'}",Biology_1
4007893,Abstract,28,0,http://ct.moreover.com/?a=33723683656&p=1pl&v=1&x=R9OQAdHcxos4adubuX4cGg,13,10.1038/s41590-018-0068-4,These results indicated that the recognition of bacterial viability was an essential driver of vaccine-induced T FH cell and antibody responses in vivo. A TLR8 polymorphism is associated with vaccine protection in humans. NATuRe ImmuNoLoGy the amino-acid truncation leads to significant structural alterations to the protein ( Supplementary Fig.,Binding of RNA to TLR8 triggers an immunological chain reaction eventually culminating in a robust antibody response. TLR8 induced signals call into action a specialized type of immune cell known as follicular helper cells. These new findings will enable researchers to use targeted vaccine adjuvants to activate follicular helper cells and thus antibody responses.,A TLR8 polymorphism is associated with vaccine protection in humans.,TLR8 induced signals call into action a specialized type of immune cell known as follicular helper cells.,,0.6464203596115112,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Binding of RNA to TLR8 triggers an immunological chain reaction eventually culminating in a robust antibody response. TLR8 induced signals call into action a specialized type of immune cell known as follicular helper cells. These new findings will enable researchers to use targeted vaccine adjuvants to activate follicular helper cells and thus antibody responses."">TLR8 induced signals call into action a specialized type of immune cell known as follicular helper cells.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These results indicated that the recognition of bacterial viability was an essential driver of vaccine-induced T FH cell and antibody responses in vivo. A TLR8 polymorphism is associated with vaccine protection in humans. NATuRe ImmuNoLoGy the amino-acid truncation leads to significant structural alterations to the protein ( Supplementary Fig."">A TLR8 polymorphism is associated with vaccine protection in humans.</span>'}",Biology_2
83458925,Abstract,0,7,http://ct.moreover.com/?a=38538076628&p=1pl&v=1&x=7Ko5INusmGh9TtCxVKqTtA,7,10.1098/rsos.171474,"There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour. Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour. The discussion presents an interpretation of this pattern of effects in terms of both the ongoing scientific and policy debates around violent video games, and emerging standards for robust evidence-based policy concerning young people's technology use.","That task force ""found that violent video game exposure was associated with: an increased composite aggression score; increased aggressive behavior; increased aggressive cognitions; increased aggressive affect, increased desensitization, and decreased empathy; and increased physiological arousal."" The task force also ""concluded that violent video game use is a risk factor for adverse outcomes, but found insufficient studies to examine any potential link between violent video game use and delinquency or criminal behavior."" In Przybylski and Weinstein's review of prior literature, the two researchers strongly argue that earlier research is beset with such problems.","Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour.","The task force also ""concluded that violent video game use is a risk factor for adverse outcomes, but found insufficient studies to examine any potential link between violent video game use and delinquency or criminal behavior.""",,0.6187471151351929,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: That task force  found that violent video game exposure was associated with: an increased composite aggression score; increased aggressive behavior; increased aggressive cognitions; increased aggressive affect, increased desensitization, and decreased empathy; and increased physiological arousal.  The task force also  concluded that violent video game use is a risk factor for adverse outcomes, but found insufficient studies to examine any potential link between violent video game use and delinquency or criminal behavior.  In Przybylski and Weinstein\'s review of prior literature, the two researchers strongly argue that earlier research is beset with such problems."">The task force also ""concluded that violent video game use is a risk factor for adverse outcomes, but found insufficient studies to examine any potential link between violent video game use and delinquency or criminal behavior.""</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour. Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour. The discussion presents an interpretation of this pattern of effects in terms of both the ongoing scientific and policy debates around violent video games, and emerging standards for robust evidence-based policy concerning young people\'s technology use."">Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour.</span>'}",Biology_3
140369845,Results,6,8,http://ct.moreover.com/?a=39378222543&p=1pl&v=1&x=jfJUiwsMZ45C94TbLKElNQ,9,10.1038/s41598-019-42900-9,"However, they were typically surrounded by a border of PrP C -expressing stromal-like cells (Fig. 2E) , suggesting a potential novel site for prion accumulation or neuroinvasion in the gut wall. Oral exposure of C57BL/6 mice to a limiting dose of ME7 scrapie prions has an incomplete clinical disease incidence 32 , allowing the potential effects of H. polygyrus co-infection on survival times and disease susceptibility to be determined.","The team observed that previous infection with a gut worm reduced this accumulation, hindering the ability of the prions to then spread to the brain where they cause damage to nerve cells. ""We observed that the early accumulation of prions within Peyer's patches was reduced and survival times were significantly extended in individuals that had been infected by a gut worm."" Our findings may help to explain why some animals are at more risk than others of developing prion disease.""","2E) , suggesting a potential novel site for prion accumulation or neuroinvasion in the gut wall.","""We observed that the early accumulation of prions within Peyer's patches was reduced and survival times were significantly extended in individuals that had been infected by a gut worm.""",,0.6313271522521973,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The team observed that previous infection with a gut worm reduced this accumulation, hindering the ability of the prions to then spread to the brain where they cause damage to nerve cells.  We observed that the early accumulation of prions within Peyer\'s patches was reduced and survival times were significantly extended in individuals that had been infected by a gut worm.  Our findings may help to explain why some animals are at more risk than others of developing prion disease. "">""We observed that the early accumulation of prions within Peyer\'s patches was reduced and survival times were significantly extended in individuals that had been infected by a gut worm.""</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, they were typically surrounded by a border of PrP C -expressing stromal-like cells (Fig. 2E) , suggesting a potential novel site for prion accumulation or neuroinvasion in the gut wall. Oral exposure of C57BL/6 mice to a limiting dose of ME7 scrapie prions has an incomplete clinical disease incidence 32 , allowing the potential effects of H. polygyrus co-infection on survival times and disease susceptibility to be determined."">2E) , suggesting a potential novel site for prion accumulation or neuroinvasion in the gut wall.</span>'}",Biology_4
1765720,Network activity is unchanged by anesthesia in mutant mice,16,6,http://www.sciencedaily.com/releases/2013/06/130603133326.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29,18,10.1038/nn.3415,"This could explain some of the known alterations in circadian rhythms in this disorder, such as the fact that individuals with FXS suffer from sleep disturbances, particularly frequent night awakenings . The fact that we uncovered a specific problem of Fmr1 −/− mice in modulating neuronal firing rates during Up/Down states suggests that, even if the neocortex of mutant mice can adequately perform neural computations during wakefulness, it may not be able to encode information during slow-wave sleep. Notably, we did not detect differences in the length of Up states in Fmr1 −/− mice.","""In essence, this points to a relative immaturity of brain circuits in FXS,"" added Tiago Goncalves, a former post-doc in Portera-Cailliau's lab and first author of the study. Abnormally high firing and network synchrony, said Portera-Cailliau, is evidence of the fact that neuronal circuits are over excitable in FXS. ""That likely leads to aberrant brain function or impairments in the normal computations of the brain,"" he said.","The fact that we uncovered a specific problem of Fmr1 −/− mice in modulating neuronal firing rates during Up/Down states suggests that, even if the neocortex of mutant mice can adequately perform neural computations during wakefulness, it may not be able to encode information during slow-wave sleep.","Abnormally high firing and network synchrony, said Portera-Cailliau, is evidence of the fact that neuronal circuits are over excitable in FXS.",,0.4549568891525268,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  In essence, this points to a relative immaturity of brain circuits in FXS,  added Tiago Goncalves, a former post-doc in Portera-Cailliau\'s lab and first author of the study. Abnormally high firing and network synchrony, said Portera-Cailliau, is evidence of the fact that neuronal circuits are over excitable in FXS.  That likely leads to aberrant brain function or impairments in the normal computations of the brain,  he said."">Abnormally high firing and network synchrony, said Portera-Cailliau, is evidence of the fact that neuronal circuits are over excitable in FXS.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This could explain some of the known alterations in circadian rhythms in this disorder, such as the fact that individuals with FXS suffer from sleep disturbances, particularly frequent night awakenings . The fact that we uncovered a specific problem of Fmr1 −/− mice in modulating neuronal firing rates during Up/Down states suggests that, even if the neocortex of mutant mice can adequately perform neural computations during wakefulness, it may not be able to encode information during slow-wave sleep. Notably, we did not detect differences in the length of Up states in Fmr1 −/− mice."">The fact that we uncovered a specific problem of Fmr1 −/− mice in modulating neuronal firing rates during Up/Down states suggests that, even if the neocortex of mutant mice can adequately perform neural computations during wakefulness, it may not be able to encode information during slow-wave sleep.</span>'}",Biology_5
128362702,Discussion,23,0,https://www.sciencedaily.com/releases/2019/04/190423114027.htm,23,10.1038/s41467-019-09863-x,"The emulators allow one to study the entire parameter space, which is not possible with complex physical models, and also help establish dynamic links between highly specialized climate and economic models. With the current parameterisations in PAGE-ICE, adding the significant corrections from the nonlinear Arctic feedbacks to the base estimates of the mean total economic effect of climate change makes the 1.5°C target ($638 trillion) marginally more economically attractive than the 2°C target ($646 trillion). While the total economic effects of the 1.5°C and 2°C scenarios are statistically equivalent (Fig.","Under the NDCs scenario, the additional estimated impact based on thousands of simulations of the nonlinear PCF and SAF is just under $70 trillion compared to their previously used values -- exceeding by around 10 times current estimates for long-terms economic gains from transit shipping routes and mineral resource extraction in the Arctic region. With previous estimates for Arctic feedbacks, the total cost of climate change associated with the 1.5C and 2C scenarios is virtually the same and is around $600 trillion -- in comparison, the estimated cost of business as usual is around $2000 trillion. Nonlinear PCF and SAF add further $25 trillion to the $600 trillion figure for the 1.5C scenario and $34 trillion for the 2C scenario.","With the current parameterisations in PAGE-ICE, adding the significant corrections from the nonlinear Arctic feedbacks to the base estimates of the mean total economic effect of climate change makes the 1.5°C target ($638 trillion) marginally more economically attractive than the 2°C target ($646 trillion).","With previous estimates for Arctic feedbacks, the total cost of climate change associated with the 1.5C and 2C scenarios is virtually the same and is around $600 trillion -- in comparison, the estimated cost of business as usual is around $2000 trillion.",,0.4865047037601471,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Under the NDCs scenario, the additional estimated impact based on thousands of simulations of the nonlinear PCF and SAF is just under $70 trillion compared to their previously used values -- exceeding by around 10 times current estimates for long-terms economic gains from transit shipping routes and mineral resource extraction in the Arctic region. With previous estimates for Arctic feedbacks, the total cost of climate change associated with the 1.5C and 2C scenarios is virtually the same and is around $600 trillion -- in comparison, the estimated cost of business as usual is around $2000 trillion. Nonlinear PCF and SAF add further $25 trillion to the $600 trillion figure for the 1.5C scenario and $34 trillion for the 2C scenario."">With previous estimates for Arctic feedbacks, the total cost of climate change associated with the 1.5C and 2C scenarios is virtually the same and is around $600 trillion -- in comparison, the estimated cost of business as usual is around $2000 trillion.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The emulators allow one to study the entire parameter space, which is not possible with complex physical models, and also help establish dynamic links between highly specialized climate and economic models. With the current parameterisations in PAGE-ICE, adding the significant corrections from the nonlinear Arctic feedbacks to the base estimates of the mean total economic effect of climate change makes the 1.5°C target ($638 trillion) marginally more economically attractive than the 2°C target ($646 trillion). While the total economic effects of the 1.5°C and 2°C scenarios are statistically equivalent (Fig."">With the current parameterisations in PAGE-ICE, adding the significant corrections from the nonlinear Arctic feedbacks to the base estimates of the mean total economic effect of climate change makes the 1.5°C target ($638 trillion) marginally more economically attractive than the 2°C target ($646 trillion).</span>'}",Biology_6
140369845,DISCUSSION,25,5,http://ct.moreover.com/?a=39378222543&p=1pl&v=1&x=jfJUiwsMZ45C94TbLKElNQ,6,10.1038/s41598-019-42900-9,"However, the granulomas induced in the intestines of H. polygyrus infected mice predominantly contained MNP, lacked organized lymphoid follicles and PrP C -expressing stromal cells within them. Although the granulomas appeared to be surrounded by a border of PrP C -expressing stromal-like cells they were unable to support PrP Sc accumulation in mice co-infected with prions. Minor oral (lingual) lesions can enhance susceptibility to CWD prions in cervid PrP-expressing transgenic mice by facilitating direct neural invasion 26 .","The study shows how the progression of prion diseases to the brain is slowed if animals have previously been infected with a gut worm. The study showed that in animals that had previously been infected with a gut worm, the spread of the prions to the brain was reduced, delaying the onset of disease. The team observed that previous infection with a gut worm reduced this accumulation, hindering the ability of the prions to then spread to the brain where they cause damage to nerve cells.",Although the granulomas appeared to be surrounded by a border of PrP C -expressing stromal-like cells they were unable to support PrP Sc accumulation in mice co-infected with prions.,"The study showed that in animals that had previously been infected with a gut worm, the spread of the prions to the brain was reduced, delaying the onset of disease.",,0.4620349407196045,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The study shows how the progression of prion diseases to the brain is slowed if animals have previously been infected with a gut worm. The study showed that in animals that had previously been infected with a gut worm, the spread of the prions to the brain was reduced, delaying the onset of disease. The team observed that previous infection with a gut worm reduced this accumulation, hindering the ability of the prions to then spread to the brain where they cause damage to nerve cells."">The study showed that in animals that had previously been infected with a gut worm, the spread of the prions to the brain was reduced, delaying the onset of disease.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, the granulomas induced in the intestines of H. polygyrus infected mice predominantly contained MNP, lacked organized lymphoid follicles and PrP C -expressing stromal cells within them. Although the granulomas appeared to be surrounded by a border of PrP C -expressing stromal-like cells they were unable to support PrP Sc accumulation in mice co-infected with prions. Minor oral (lingual) lesions can enhance susceptibility to CWD prions in cervid PrP-expressing transgenic mice by facilitating direct neural invasion 26 ."">Although the granulomas appeared to be surrounded by a border of PrP C -expressing stromal-like cells they were unable to support PrP Sc accumulation in mice co-infected with prions.</span>'}",Biology_7
11549363,Discussion,9,5,http://www.insidescience.org/content/grit-filled-foods-wore-down-early-humans-teeth/918,11,10.1098/rsif.2012.0923,"In this respect, enamel may resemble modern 'tough' ceramics that permit micro-cracking in a confined region under an indenter because, somewhat ironically, this inhibits the possibility of any catastrophic fracture . However, we saw no evidence of them and they appear to be suppressed by enamel structure . Instead, abrasion is likely to be the result of median cracks that turn towards the enamel surface, as is also seen in larger-scale chipping events .","Under the same conditions, phytoliths were far less destructive. The plant particles could indent the enamel but not fracture or scratch it. ""It may still be that phytoliths still make it unpleasant to eat because you're causing changes to your tooth, but it's not like they are the primary thing causing your teeth to disappear,"" said study team member Amanda Henry, a physical anthropologist at the Max Planck Institute for Evolutionary Anthropology, in Leipzig, Germany.","However, we saw no evidence of them and they appear to be suppressed by enamel structure .",The plant particles could indent the enamel but not fracture or scratch it.,,0.4665257334709167,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Under the same conditions, phytoliths were far less destructive. The plant particles could indent the enamel but not fracture or scratch it.  It may still be that phytoliths still make it unpleasant to eat because you\'re causing changes to your tooth, but it\'s not like they are the primary thing causing your teeth to disappear,  said study team member Amanda Henry, a physical anthropologist at the Max Planck Institute for Evolutionary Anthropology, in Leipzig, Germany."">The plant particles could indent the enamel but not fracture or scratch it.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In this respect, enamel may resemble modern \'tough\' ceramics that permit micro-cracking in a confined region under an indenter because, somewhat ironically, this inhibits the possibility of any catastrophic fracture . However, we saw no evidence of them and they appear to be suppressed by enamel structure . Instead, abrasion is likely to be the result of median cracks that turn towards the enamel surface, as is also seen in larger-scale chipping events ."">However, we saw no evidence of them and they appear to be suppressed by enamel structure .</span>'}",Biology_8
52132097,DISCUSSION,14,0,http://ct.moreover.com/?a=34950590787&p=1pl&v=1&x=P1m7RYeIuoMRtrkH4w4F0Q,15,10.1126/sciadv.aau1291,"This suggests that chronic FIP treatment may only require relatively infrequent reloading of the drug reservoir. Looking ahead, we believe that electrophoretic drug delivery devices can be further adapted to best treat epilepsy and other neurological disorders. Thus, a single FIP implant at the seizure focus may prove a viable treatment option for these patients.","This means the device should be able to operate for extended periods without needing to be refilled. They also found evidence that the delivered drug, which was in fact a neurotransmitter that is native to the body, was taken up by natural processes in the brain within minutes which, the researchers say, should help reduce side effects from the treatment. Although early results are promising, the potential treatment would not be available for humans for several years.","Looking ahead, we believe that electrophoretic drug delivery devices can be further adapted to best treat epilepsy and other neurological disorders.","They also found evidence that the delivered drug, which was in fact a neurotransmitter that is native to the body, was taken up by natural processes in the brain within minutes which, the researchers say, should help reduce side effects from the treatment.",,0.4708844423294067,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This means the device should be able to operate for extended periods without needing to be refilled. They also found evidence that the delivered drug, which was in fact a neurotransmitter that is native to the body, was taken up by natural processes in the brain within minutes which, the researchers say, should help reduce side effects from the treatment. Although early results are promising, the potential treatment would not be available for humans for several years."">They also found evidence that the delivered drug, which was in fact a neurotransmitter that is native to the body, was taken up by natural processes in the brain within minutes which, the researchers say, should help reduce side effects from the treatment.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This suggests that chronic \uf06dFIP treatment may only require relatively infrequent reloading of the drug reservoir. Looking ahead, we believe that electrophoretic drug delivery devices can be further adapted to best treat epilepsy and other neurological disorders. Thus, a single \uf06dFIP implant at the seizure focus may prove a viable treatment option for these patients."">Looking ahead, we believe that electrophoretic drug delivery devices can be further adapted to best treat epilepsy and other neurological disorders.</span>'}",Biology_9
