Paper ID,Section,Paragraph ID,Line ID,News URL,News ID,DOI,Paper Context,News Context,Paper Finding,News Finding,Matching?,Similarity score,text,id
38619576,Supporting the heuristic argument in the proof,83,2,http://www.homelandsecuritynewswire.com/dr20140518-new-algorithm-revolutionizes-cryptography,8,10.1007/978-3-642-55220-5_1,"Otherwise, it would divide the right-hand side of Equation (5), and therefore, also the left-hand side, which is impossible. Since v P ≤ deg R deg P ≤ δ < q, the quantity q − v P is invertible modulo (we assume, as usual that is larger than q) and we obtain a relation between log P , log h 1 and the logarithms of the non-problematic polynomials Q i . The degree of R/P v P is at most (δ − 1)D, which gives the claimed bound on the degrees of the Q i .","It discredits several cryptographic systems that until now were assumed to provide sufficient security safeguards. Although this work is still theoretical, it is likely to have repercussions especially on the cryptographic applications of smart cards, RFID chips, etc. The algorithm they devised stands out from the best algorithms known to date for this problem.","Since v P ≤ deg R deg P ≤ δ < q, the quantity q − v P is invertible modulo (we assume, as usual that is larger than q) and we obtain a relation between log P , log h 1 and the logarithms of the non-problematic polynomials Q i .","Although this work is still theoretical, it is likely to have repercussions especially on the cryptographic applications of smart cards, RFID chips, etc.",,0.501062273979187,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It discredits several cryptographic systems that until now were assumed to provide sufficient security safeguards. Although this work is still theoretical, it is likely to have repercussions especially on the cryptographic applications of smart cards, RFID chips, etc. The algorithm they devised stands out from the best algorithms known to date for this problem."">Although this work is still theoretical, it is likely to have repercussions especially on the cryptographic applications of smart cards, RFID chips, etc.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Otherwise, it would divide the right-hand side of Equation (5), and therefore, also the left-hand side, which is impossible. Since v P ≤ deg R deg P ≤ δ < q, the quantity q − v P is invertible modulo (we assume, as usual that is larger than q) and we obtain a relation between log P , log h 1 and the logarithms of the non-problematic polynomials Q i . The degree of R/P v P is at most (δ − 1)D, which gives the claimed bound on the degrees of the Q i ."">Since v P ≤ deg R deg P ≤ δ < q, the quantity q − v P is invertible modulo (we assume, as usual that is larger than q) and we obtain a relation between log P , log h 1 and the logarithms of the non-problematic polynomials Q i .</span>'}",Computer_Science_0
17535336,1) Mixed-reality version of EarthShake with Mouse Control,27,15,http://www.theepochtimes.com/n3/1354229-why-tablets-cant-replace-real-world-schools/,20,10.1145/2702123.2702397,"Why do you think this tower fell first?"" This scenario is repeated for different contrasting cases targeting height, wide base, symmetry and center of mass principles ( Figure 3) . The only difference was that this time in order to shake the table, they had to shake the tablet with their hands instead of pressing the shake button as in Condition 2.","Not only that, but students enjoyed the game more in the mixed-reality conditions. They also determined that simple physical controls like shaking the tablet or pushing the earthquake button did little to improve either learning or enjoyment of the game. ""Mixed-reality games that support physical observation in the real world have a great potential to enhance learning and enjoyment for young children,"" the researchers say.","This scenario is repeated for different contrasting cases targeting height, wide base, symmetry and center of mass principles ( Figure 3) .",They also determined that simple physical controls like shaking the tablet or pushing the earthquake button did little to improve either learning or enjoyment of the game.,,0.5182449817657471,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Not only that, but students enjoyed the game more in the mixed-reality conditions. They also determined that simple physical controls like shaking the tablet or pushing the earthquake button did little to improve either learning or enjoyment of the game.  Mixed-reality games that support physical observation in the real world have a great potential to enhance learning and enjoyment for young children,  the researchers say."">They also determined that simple physical controls like shaking the tablet or pushing the earthquake button did little to improve either learning or enjoyment of the game.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Why do you think this tower fell first?  This scenario is repeated for different contrasting cases targeting height, wide base, symmetry and center of mass principles ( Figure 3) . The only difference was that this time in order to shake the table, they had to shake the tablet with their hands instead of pressing the shake button as in Condition 2."">This scenario is repeated for different contrasting cases targeting height, wide base, symmetry and center of mass principles ( Figure 3) .</span>'}",Computer_Science_1
18577759,Abstract,1,1,http://www.sciencedaily.com/releases/2015/02/150209161417.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily%2Ftop_news%2Ftop_technology+%28ScienceDaily%3A+Top+Technology+News%29,4,10.1073/pnas.1411728112,"By making precise the definition of thermal operations, the laws of thermodynamics take on a simple form with the first law defining the class of thermal operations, the zeroeth law, as derived here, emerging as a unique condition ensuring the theory is nontrivial, and the remaining laws being a monotonicity property of our generalised free energies. Interpreted strictly, the Clausius statement of the second law, applies to situations which never occur in nature. The same holds true for other versions of the second law, such as the Kelvin-Planck statement, where one also talks about cyclic processes, in which all other objects beside the system of interest are returned back to their original state.","It tells us that a hot cup of tea in a cold room will cool down rather than heat up; that even the most efficient machines will lose some energy as heat; and more prosaically, that a house will gradually get messier over time rather than tidying itself. The research, published in the journal Proceedings of the National Academy of Sciences, reveals that on very small scales there is actually a whole family of 'second laws', which can lead to unexpected and counterintuitive phenomena. ""Even while individual parts of a system may become more ordered, the overall entropy of the total system (a measure of disorder) increases.""","Interpreted strictly, the Clausius statement of the second law, applies to situations which never occur in nature.","The research, published in the journal Proceedings of the National Academy of Sciences, reveals that on very small scales there is actually a whole family of 'second laws', which can lead to unexpected and counterintuitive phenomena.",,0.5478017330169678,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It tells us that a hot cup of tea in a cold room will cool down rather than heat up; that even the most efficient machines will lose some energy as heat; and more prosaically, that a house will gradually get messier over time rather than tidying itself. The research, published in the journal Proceedings of the National Academy of Sciences, reveals that on very small scales there is actually a whole family of \'second laws\', which can lead to unexpected and counterintuitive phenomena.  Even while individual parts of a system may become more ordered, the overall entropy of the total system (a measure of disorder) increases. "">The research, published in the journal Proceedings of the National Academy of Sciences, reveals that on very small scales there is actually a whole family of \'second laws\', which can lead to unexpected and counterintuitive phenomena.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: By making precise the definition of thermal operations, the laws of thermodynamics take on a simple form with the first law defining the class of thermal operations, the zeroeth law, as derived here, emerging as a unique condition ensuring the theory is nontrivial, and the remaining laws being a monotonicity property of our generalised free energies. Interpreted strictly, the Clausius statement of the second law, applies to situations which never occur in nature. The same holds true for other versions of the second law, such as the Kelvin-Planck statement, where one also talks about cyclic processes, in which all other objects beside the system of interest are returned back to their original state."">Interpreted strictly, the Clausius statement of the second law, applies to situations which never occur in nature.</span>'}",Computer_Science_2
2780425,Results and discussion,19,36,http://feedproxy.google.com/~r/TechnologyOrg/~3/JM-jhIn6rZA/,32,10.1016/j.compag.2016.07.028,"This is because evaporative loss from the pot surface accounted for a large portion of ET and therefore low WUE. When the plants grew bigger, transpiration loss became more significant, which increased WUE. When comparing WUE to daily water consumption in Fig.","The methods required to establish those baseline values help illustrate why the RGB and hyperspectral imaging techniques should prove so useful, the researchers said. But teasing apart a plant's water weight from its new biomass growth - and subsequently determining how efficiently each plant turned water into new tissue - required multiple steps that ultimately destroyed the plant. In killing the plant, these methods kept the researchers from observing how it would have grown and developed afterward.","When the plants grew bigger, transpiration loss became more significant, which increased WUE.",But teasing apart a plant's water weight from its new biomass growth - and subsequently determining how efficiently each plant turned water into new tissue - required multiple steps that ultimately destroyed the plant.,,0.5190840363502502,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The methods required to establish those baseline values help illustrate why the RGB and hyperspectral imaging techniques should prove so useful, the researchers said. But teasing apart a plant\'s water weight from its new biomass growth - and subsequently determining how efficiently each plant turned water into new tissue - required multiple steps that ultimately destroyed the plant. In killing the plant, these methods kept the researchers from observing how it would have grown and developed afterward."">But teasing apart a plant\'s water weight from its new biomass growth - and subsequently determining how efficiently each plant turned water into new tissue - required multiple steps that ultimately destroyed the plant.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This is because evaporative loss from the pot surface accounted for a large portion of ET and therefore low WUE. When the plants grew bigger, transpiration loss became more significant, which increased WUE. When comparing WUE to daily water consumption in Fig."">When the plants grew bigger, transpiration loss became more significant, which increased WUE.</span>'}",Computer_Science_3
32598627,Literature Review,14,12,http://www.futurity.org/airplanes-baggage-fees-1234212-2/,5,10.1287/mnsc.2016.2500,"In addition, they find that, unlike low-cost airlines, full-service airlines assign a higher weight on the cost of late arrivals. They find that the actual block times averages of all U.S. airlines exceed their average scheduled block times, potentially driven by the 15-minute buffer used by the DOT in reporting on-time arrival performance. Our study contributes to this research stream by including a new possible factor that influences departure delays, i.e.","The below-the-cabin effect dominates the above-the-cabin effect."" The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag. The reductions are significant because departure times and mitigating delays are crucial to so many other facets of the business, such as the number of flights airlines can offer and their image among potential customers.","They find that the actual block times averages of all U.S. airlines exceed their average scheduled block times, potentially driven by the 15-minute buffer used by the DOT in reporting on-time arrival performance.","The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag.",,0.5425071120262146,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The below-the-cabin effect dominates the above-the-cabin effect.  The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag. The reductions are significant because departure times and mitigating delays are crucial to so many other facets of the business, such as the number of flights airlines can offer and their image among potential customers."">The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In addition, they find that, unlike low-cost airlines, full-service airlines assign a higher weight on the cost of late arrivals. They find that the actual block times averages of all U.S. airlines exceed their average scheduled block times, potentially driven by the 15-minute buffer used by the DOT in reporting on-time arrival performance. Our study contributes to this research stream by including a new possible factor that influences departure delays, i.e."">They find that the actual block times averages of all U.S. airlines exceed their average scheduled block times, potentially driven by the 15-minute buffer used by the DOT in reporting on-time arrival performance.</span>'}",Computer_Science_4
4457804,METHODS,30,2,http://www.theepochtimes.com/n3/924144-neurons-reveal-the-brains-learning-limit/,19,10.1038/nature13665,"For monkey L, we did not analyse 3 sessions (2 within-manifold perturbations; 1 outside-manifold perturbation). At the beginning of each day, the monkey was typically able to control the cursor proficiently using the previous day's intuitive mapping. The following describes the BCI calibration procedure for monkey L. We observed that neural activity for this monkey was not as stable from day to day as it was for monkey J.","The results showed that the subjects learned to generate some neural activity patterns more easily than others, since they only sometimes achieved accurate cursor movements. The harder-to-learn patterns were different from any of the pre-existing patterns, whereas the easier-to-learn patterns were combinations of pre-existing brain patterns. Because the existing brain patterns likely reflect how the neurons are interconnected, the results suggest that the connectivity among neurons shapes learning.","At the beginning of each day, the monkey was typically able to control the cursor proficiently using the previous day's intuitive mapping.","The harder-to-learn patterns were different from any of the pre-existing patterns, whereas the easier-to-learn patterns were combinations of pre-existing brain patterns.",,0.4821971654891968,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The results showed that the subjects learned to generate some neural activity patterns more easily than others, since they only sometimes achieved accurate cursor movements. The harder-to-learn patterns were different from any of the pre-existing patterns, whereas the easier-to-learn patterns were combinations of pre-existing brain patterns. Because the existing brain patterns likely reflect how the neurons are interconnected, the results suggest that the connectivity among neurons shapes learning."">The harder-to-learn patterns were different from any of the pre-existing patterns, whereas the easier-to-learn patterns were combinations of pre-existing brain patterns.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: For monkey L, we did not analyse 3 sessions (2 within-manifold perturbations; 1 outside-manifold perturbation). At the beginning of each day, the monkey was typically able to control the cursor proficiently using the previous day\'s intuitive mapping. The following describes the BCI calibration procedure for monkey L. We observed that neural activity for this monkey was not as stable from day to day as it was for monkey J."">At the beginning of each day, the monkey was typically able to control the cursor proficiently using the previous day\'s intuitive mapping.</span>'}",Computer_Science_5
13691875,Cortical versus basal ganglia control strategies,25,8,http://ct.moreover.com/?a=34175486612&p=1pl&v=1&x=_1eTrGJQyGkkr4UeWUolqA,23,10.1088/1741-2552/aabc9b,"We have demonstrated the technical feasibility of this approach within a totally implanted device. While this cortical detection strategy does require insertion of a subdural lead for motor cortex recording, insertion of this ""extra"" lead is technically simple and can be done at the same time as insertion of the DBS leads, using the same skull opening and surgical exposure as used for the DBS leads . Additionally, the insertion of this lead has not been associated with negative outcomes when used acutely or chronically (in a small sample) .","""Instead, our device receives feedback from the motor cortex, far from the stimulation source, providing a more reliable signal."" An adaptive system like the one being tested here could offer an effective alternative and may also limit adverse effects of traditional deep brain stimulation, but considerable testing remains to be done. ""Here we have demonstrated the feasibility of adaptive deep brain stimulation,"" said Dr. Starr.","While this cortical detection strategy does require insertion of a subdural lead for motor cortex recording, insertion of this ""extra"" lead is technically simple and can be done at the same time as insertion of the DBS leads, using the same skull opening and surgical exposure as used for the DBS leads .","An adaptive system like the one being tested here could offer an effective alternative and may also limit adverse effects of traditional deep brain stimulation, but considerable testing remains to be done.",,0.4538359642028808,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  Instead, our device receives feedback from the motor cortex, far from the stimulation source, providing a more reliable signal.  An adaptive system like the one being tested here could offer an effective alternative and may also limit adverse effects of traditional deep brain stimulation, but considerable testing remains to be done.  Here we have demonstrated the feasibility of adaptive deep brain stimulation,  said Dr. Starr."">An adaptive system like the one being tested here could offer an effective alternative and may also limit adverse effects of traditional deep brain stimulation, but considerable testing remains to be done.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We have demonstrated the technical feasibility of this approach within a totally implanted device. While this cortical detection strategy does require insertion of a subdural lead for motor cortex recording, insertion of this  extra  lead is technically simple and can be done at the same time as insertion of the DBS leads, using the same skull opening and surgical exposure as used for the DBS leads . Additionally, the insertion of this lead has not been associated with negative outcomes when used acutely or chronically (in a small sample) ."">While this cortical detection strategy does require insertion of a subdural lead for motor cortex recording, insertion of this ""extra"" lead is technically simple and can be done at the same time as insertion of the DBS leads, using the same skull opening and surgical exposure as used for the DBS leads .</span>'}",Computer_Science_6
17985920,Study limitations,44,4,http://ct.moreover.com/?a=34299069033&p=1pl&v=1&x=XwPIOwPBqw9PE_RGIV509w,4,10.1007/s10055-018-0346-3,"Thus, differences in the recall performance may be explained by this diverse interaction modality. It will be interesting to examine the relative advantage of the diverse interaction modalities with the same display modality, in future user studies. We found that the use of virtual memory palaces in HMD condition improves recall accuracy when compared to using a traditional desktop condition.","The researchers found that people remember information better if it is presented to them in a virtual environment. ""This data is exciting in that it suggests that immersive environments could offer new pathways for improved outcomes in education and high-proficiency training,"" says Amitabh Varshney, professor of computer science and dean of the College of Computer, Mathematical, and Natural Sciences at UMD. The results showed an 8.8 percent improvement overall in recall accuracy using the VR headsets, a statistically significant number according to the research team.","It will be interesting to examine the relative advantage of the diverse interaction modalities with the same display modality, in future user studies.","""This data is exciting in that it suggests that immersive environments could offer new pathways for improved outcomes in education and high-proficiency training,"" says Amitabh Varshney, professor of computer science and dean of the College of Computer, Mathematical, and Natural Sciences at UMD.",,0.454204261302948,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The researchers found that people remember information better if it is presented to them in a virtual environment.  This data is exciting in that it suggests that immersive environments could offer new pathways for improved outcomes in education and high-proficiency training,  says Amitabh Varshney, professor of computer science and dean of the College of Computer, Mathematical, and Natural Sciences at UMD. The results showed an 8.8 percent improvement overall in recall accuracy using the VR headsets, a statistically significant number according to the research team."">""This data is exciting in that it suggests that immersive environments could offer new pathways for improved outcomes in education and high-proficiency training,"" says Amitabh Varshney, professor of computer science and dean of the College of Computer, Mathematical, and Natural Sciences at UMD.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Thus, differences in the recall performance may be explained by this diverse interaction modality. It will be interesting to examine the relative advantage of the diverse interaction modalities with the same display modality, in future user studies. We found that the use of virtual memory palaces in HMD condition improves recall accuracy when compared to using a traditional desktop condition."">It will be interesting to examine the relative advantage of the diverse interaction modalities with the same display modality, in future user studies.</span>'}",Computer_Science_7
61690383,Theoretical Background,8,2,http://www.sciencedaily.com/releases/2013/10/131024182551.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29,10,10.1177/1080569913501862,"We found that the literature falls short in several ways in identifying how mobile phone behaviors at meetings are perceived as appropriate or not. We think that additional mobile phone behaviors should be examined. The sample included a slight majority of men (58.8%) and included all age groups (18-30 years, 31.4%; 31-40 years, 20.6%; 41-50 years, 19.1%; 51-65 years, 24.5%; above 65 years, 3.4%).","Even at more informal business lunches, the majority of people thought writing a text message is rude -- 66 percent said writing or sending a text message is inappropriate. Men were nearly twice as likely as women to consider mobile phone use at a business lunch acceptable. More than 59 percent of men said it was okay to check text messages at a power lunch, compared to 34 percent of women who thought checking texts was appropriate.",We think that additional mobile phone behaviors should be examined.,Men were nearly twice as likely as women to consider mobile phone use at a business lunch acceptable.,,0.4983696043491363,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Even at more informal business lunches, the majority of people thought writing a text message is rude -- 66 percent said writing or sending a text message is inappropriate. Men were nearly twice as likely as women to consider mobile phone use at a business lunch acceptable. More than 59 percent of men said it was okay to check text messages at a power lunch, compared to 34 percent of women who thought checking texts was appropriate."">Men were nearly twice as likely as women to consider mobile phone use at a business lunch acceptable.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that the literature falls short in several ways in identifying how mobile phone behaviors at meetings are perceived as appropriate or not. We think that additional mobile phone behaviors should be examined. The sample included a slight majority of men (58.8%) and included all age groups (18-30 years, 31.4%; 31-40 years, 20.6%; 41-50 years, 19.1%; 51-65 years, 24.5%; above 65 years, 3.4%)."">We think that additional mobile phone behaviors should be examined.</span>'}",Computer_Science_8
4457804,,10,8,http://www.sciencedaily.com/releases/2014/08/140827131648.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29,8,10.1038/nature13665,We ensured that the initial performance impairments were equivalent for the two perturbation types (Fig. The intrinsic manifold presumably reflects constraints imposed by the underlying neural circuitry. Here we show that the animals could readily learn to proficiently control the cursor using neural activity patterns that were within the intrinsic manifold.,"Understanding the ways in which the brain's activity can be ""flexed"" during learning could eventually be used to develop better treatments for stroke and other brain injuries. ""We found that the brain works in a similar way during learning. We found that subjects were able to more readily recombine familiar activity patterns in new ways relative to creating entirely novel patterns.""",The intrinsic manifold presumably reflects constraints imposed by the underlying neural circuitry.,"""We found that the brain works in a similar way during learning.",,0.4918315410614013,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Understanding the ways in which the brain\'s activity can be  flexed  during learning could eventually be used to develop better treatments for stroke and other brain injuries.  We found that the brain works in a similar way during learning. We found that subjects were able to more readily recombine familiar activity patterns in new ways relative to creating entirely novel patterns. "">""We found that the brain works in a similar way during learning.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We ensured that the initial performance impairments were equivalent for the two perturbation types (Fig. The intrinsic manifold presumably reflects constraints imposed by the underlying neural circuitry. Here we show that the animals could readily learn to proficiently control the cursor using neural activity patterns that were within the intrinsic manifold."">The intrinsic manifold presumably reflects constraints imposed by the underlying neural circuitry.</span>'}",Computer_Science_9
