Paper ID,Section,Paragraph ID,Line ID,News URL,News ID,DOI,Paper Context,News Context,Paper Finding,News Finding,Matching?,Similarity score,text,id
49223714,CDK12 Mutations Are Enriched in Cases of mCRPC,9,9,http://ct.moreover.com/?a=34304544254&p=1pl&v=1&x=4ldt3u_6ItGR2RE2UuBujA,23,10.1016/j.cell.2018.04.034,The majority of CDK12 mutations (83%) were truncating and resulted in the loss of the kinase domain. Missense mutations were clustered around conserved residues in the kinase domain ( Figure S1 ). All patients showed biallelic inactivation of CDK12.,"Significantly, CDK12-mutated tumors also harbored higher numbers of surface neoantigens, which act to recruit immune-fighting T cells, a finding that may explain why this subtype of cancer is more susceptible to immune checkpoint blockade, and so why some patients do benefit from immune checkpoint blockade, the team suggests. Identifying specific mutation-associated neoantigens could thus feasibly lead to the development of personalized tumor vaccines. ""Perhaps most importantly for translational purposes, CDK12 mutant cases exhibit a characteristic immunophenotype....CDK12 mutant tumors show high overall immune infiltration, increased levels of tumor-infiltrating lymphotyces, and altered chemokine signalling.",Missense mutations were clustered around conserved residues in the kinase domain ( Figure S1 ).,Identifying specific mutation-associated neoantigens could thus feasibly lead to the development of personalized tumor vaccines.,,0.5470879077911377,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Significantly, CDK12-mutated tumors also harbored higher numbers of surface neoantigens, which act to recruit immune-fighting T cells, a finding that may explain why this subtype of cancer is more susceptible to immune checkpoint blockade, and so why some patients do benefit from immune checkpoint blockade, the team suggests. Identifying specific mutation-associated neoantigens could thus feasibly lead to the development of personalized tumor vaccines.  Perhaps most importantly for translational purposes, CDK12 mutant cases exhibit a characteristic immunophenotype....CDK12 mutant tumors show high overall immune infiltration, increased levels of tumor-infiltrating lymphotyces, and altered chemokine signalling."">Identifying specific mutation-associated neoantigens could thus feasibly lead to the development of personalized tumor vaccines.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The majority of CDK12 mutations (83%) were truncating and resulted in the loss of the kinase domain. Missense mutations were clustered around conserved residues in the kinase domain ( Figure S1 ). All patients showed biallelic inactivation of CDK12."">Missense mutations were clustered around conserved residues in the kinase domain ( Figure S1 ).</span>'}",Medicine_0
6502763,Introduction,8,7,http://discovermagazine.com/2010/the-brain/09-psychologist-says-antidepressants-are-just-fancy-placebos?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+DiscoverMindBrain+%28Discover+Mind+%26+Brain%29,25,10.1001/jama.2009.1943,"Baseline symptom severity is one dimension that may affect treatment outcome. found that as the mean baseline HRSD score increased, the magnitude of HRSD change decreased for placebo, but remained unchanged for ADM. Khan et al. did not find a significant relationship between baseline scores and symptom change for the placebo condition, but found greater symptom change in ADM as baseline HRSD scores increased.","So this drug, which decreases serotonin, also decreased depression. That suggests it's really the placebo effect that is helping the patients. In a population of depressed people, they all work equally well.","found that as the mean baseline HRSD score increased, the magnitude of HRSD change decreased for placebo, but remained unchanged for ADM. Khan et al.",That suggests it's really the placebo effect that is helping the patients.,,0.5014869570732117,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: So this drug, which decreases serotonin, also decreased depression. That suggests it\'s really the placebo effect that is helping the patients. In a population of depressed people, they all work equally well."">That suggests it\'s really the placebo effect that is helping the patients.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Baseline symptom severity is one dimension that may affect treatment outcome. found that as the mean baseline HRSD score increased, the magnitude of HRSD change decreased for placebo, but remained unchanged for ADM. Khan et al. did not find a significant relationship between baseline scores and symptom change for the placebo condition, but found greater symptom change in ADM as baseline HRSD scores increased."">found that as the mean baseline HRSD score increased, the magnitude of HRSD change decreased for placebo, but remained unchanged for ADM. Khan et al.</span>'}",Medicine_1
13808495,,4,8,http://ct.moreover.com/?a=37574117193&p=1pl&v=1&x=ptbwG_dACdLouZko2EPU2w,25,10.1176/appi.ajp.2018.17111282,"By reducing the scope of genetic testing, associated time and costs are minimized. Specific genomic variants for CYP450 enzymes can be assayed in the individual patient to generate a customized patient profile for each candidate psychotropic medication. Genotyping results must be linked to phenotype categories on the basis of knowledge about the known metabolic pathways of the drugs and the available scientific evidence base linking genotypes with observed biological effects.","It's simply too early. Ultimately, we're all interested in making medication more efficient. But even though products promising a future filled with personalized medicine are starting to hit drugstore shelves, the research still suggests we're not at a point where our genes can help determine our dosages -- yet.",Specific genomic variants for CYP450 enzymes can be assayed in the individual patient to generate a customized patient profile for each candidate psychotropic medication.,"But even though products promising a future filled with personalized medicine are starting to hit drugstore shelves, the research still suggests we're not at a point where our genes can help determine our dosages -- yet.",,0.5186246633529663,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It\'s simply too early. Ultimately, we\'re all interested in making medication more efficient. But even though products promising a future filled with personalized medicine are starting to hit drugstore shelves, the research still suggests we\'re not at a point where our genes can help determine our dosages -- yet."">But even though products promising a future filled with personalized medicine are starting to hit drugstore shelves, the research still suggests we\'re not at a point where our genes can help determine our dosages -- yet.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: By reducing the scope of genetic testing, associated time and costs are minimized. Specific genomic variants for CYP450 enzymes can be assayed in the individual patient to generate a customized patient profile for each candidate psychotropic medication. Genotyping results must be linked to phenotype categories on the basis of knowledge about the known metabolic pathways of the drugs and the available scientific evidence base linking genotypes with observed biological effects."">Specific genomic variants for CYP450 enzymes can be assayed in the individual patient to generate a customized patient profile for each candidate psychotropic medication.</span>'}",Medicine_2
20049648,Discussion,34,7,http://www.futurity.org/musicians-brains-rhythms-1034492-2/,2,10.1073/pnas.1508431112,"This suggests that the primary function reflected in this neural pattern is not specific to the task. Plausibly, then, music-with its inherent rhythmicity-also drives this system. What we consider intriguing is that this sensorimotor network, with a primary function in rhythmic processing, affects performance on a nonrhythmic task.","The study, which appears in the Proceedings of the National Academy of Sciences, points to a newfound role the brain's cortical oscillations play in the detection of musical sequences. The findings also suggest musical training can enhance the functional role of brain rhythms. ""Specifically, our findings show that the presence of these rhythms enhances our perception of music and of pitch changes.""","Plausibly, then, music-with its inherent rhythmicity-also drives this system.","The study, which appears in the Proceedings of the National Academy of Sciences, points to a newfound role the brain's cortical oscillations play in the detection of musical sequences.",,0.5091114640235901,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The study, which appears in the Proceedings of the National Academy of Sciences, points to a newfound role the brain\'s cortical oscillations play in the detection of musical sequences. The findings also suggest musical training can enhance the functional role of brain rhythms.  Specifically, our findings show that the presence of these rhythms enhances our perception of music and of pitch changes. "">The study, which appears in the Proceedings of the National Academy of Sciences, points to a newfound role the brain\'s cortical oscillations play in the detection of musical sequences.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This suggests that the primary function reflected in this neural pattern is not specific to the task. Plausibly, then, music-with its inherent rhythmicity-also drives this system. What we consider intriguing is that this sensorimotor network, with a primary function in rhythmic processing, affects performance on a nonrhythmic task."">Plausibly, then, music-with its inherent rhythmicity-also drives this system.</span>'}",Medicine_3
13691875,Abstract,1,0,https://www.futurity.org/deep-brain-stimulation-parkinsons-disease-1761562/,35,10.1088/1741-2552/aabc9b,"Here we show the feasibility of adaptive DBS using a fully implanted neural prosthesis. Main Results-We demonstrate the feasibility of ""adaptive deep brain stimulation"" in two patients with Parkinson's disease. In short term in-clinic testing, energy savings were substantial (38-45%), and therapeutic efficacy was maintained.","""One way to move forward is to use the information we gather to improve algorithms in devices like those we used in our study,"" Swann says. ""We also imagine that, for some patients, having implanted electrodes may not be the best option. In the future, we might be able to use a EEG electrode placed in a fashionable cap to record data that could be used to inform changes in the settings.""",Here we show the feasibility of adaptive DBS using a fully implanted neural prosthesis.,"""We also imagine that, for some patients, having implanted electrodes may not be the best option.",,0.5088125467300415,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  One way to move forward is to use the information we gather to improve algorithms in devices like those we used in our study,  Swann says.  We also imagine that, for some patients, having implanted electrodes may not be the best option. In the future, we might be able to use a EEG electrode placed in a fashionable cap to record data that could be used to inform changes in the settings. "">""We also imagine that, for some patients, having implanted electrodes may not be the best option.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Here we show the feasibility of adaptive DBS using a fully implanted neural prosthesis. Main Results-We demonstrate the feasibility of  adaptive deep brain stimulation  in two patients with Parkinson\'s disease. In short term in-clinic testing, energy savings were substantial (38-45%), and therapeutic efficacy was maintained."">Here we show the feasibility of adaptive DBS using a fully implanted neural prosthesis.</span>'}",Medicine_4
51874017,Results,9,2,http://ct.moreover.com/?a=37227743738&p=1pl&v=1&x=2zyW9bON3VHP6zbXr8qTXQ,9,10.1038/s41598-018-29793-w,"Overall, severity of rhinorrhea was found to be associated with changes in alpha diversity (P = 0.014). The subjects who had more severe rhinorrhea (runny nose score over the median of 7) also had a significantly larger increase in alpha-diversity following the viral challenge (D0) over time compared to the subjects with less severe or no Bl-04 intervention and rhinovirus infection had minimal effect on nasal microbiota. All the samples in the placebo group tested negative for Bl-04 except for one D0 sample.","Researchers found that the bacteria found inside study participantsa nasal microbiome types were linked to how much cold virus was found inside the body, and how cold symptoms manifested person to person. Itas further noted in the press release that genes might play a role in both the composition of your nasal microbiome, and how bad your cold symptoms get. Itas also noted in the press release that researchers gave study participants liquid oral probiotics a beneficial bacteria a to see if they altered the makeup of the nasal microbiome while helping to relieve cold symptoms, but the supplements didnat make much difference.",The subjects who had more severe rhinorrhea (runny nose score over the median of 7) also had a significantly larger increase in alpha-diversity following the viral challenge (D0) over time compared to the subjects with less severe or no Bl-04 intervention and rhinovirus infection had minimal effect on nasal microbiota.,"Itas further noted in the press release that genes might play a role in both the composition of your nasal microbiome, and how bad your cold symptoms get.",,0.4471897780895233,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Researchers found that the bacteria found inside study participantsa nasal microbiome types were linked to how much cold virus was found inside the body, and how cold symptoms manifested person to person. Itas further noted in the press release that genes might play a role in both the composition of your nasal microbiome, and how bad your cold symptoms get. Itas also noted in the press release that researchers gave study participants liquid oral probiotics a beneficial bacteria a to see if they altered the makeup of the nasal microbiome while helping to relieve cold symptoms, but the supplements didnat make much difference."">Itas further noted in the press release that genes might play a role in both the composition of your nasal microbiome, and how bad your cold symptoms get.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Overall, severity of rhinorrhea was found to be associated with changes in alpha diversity (P = 0.014). The subjects who had more severe rhinorrhea (runny nose score over the median of 7) also had a significantly larger increase in alpha-diversity following the viral challenge (D0) over time compared to the subjects with less severe or no Bl-04 intervention and rhinovirus infection had minimal effect on nasal microbiota. All the samples in the placebo group tested negative for Bl-04 except for one D0 sample."">The subjects who had more severe rhinorrhea (runny nose score over the median of 7) also had a significantly larger increase in alpha-diversity following the viral challenge (D0) over time compared to the subjects with less severe or no Bl-04 intervention and rhinovirus infection had minimal effect on nasal microbiota.</span>'}",Medicine_5
4457804,RESEARCH LETTER,22,1,http://www.theepochtimes.com/n3/924144-neurons-reveal-the-brains-learning-limit/,5,10.1038/nature13665,"We conclude from these analyses that the parsimonious explanation for BCI learning is whether or not the new control space is within the intrinsic manifold. These alternative explanations did reveal interesting secondary aspects of the data; they partially explained within-category differences in learnability, albeit in an idiosyncratic manner between the two monkeys (Extended Data Fig. Although our estimate of the intrinsic manifold can depend on several methodological factors (Extended Data Fig.","As reported in Nature, the researchers found for the first time that there are limitations on how adaptable the brain is during learning and that these restrictions are a key determinant for whether a new skill will be easy or difficult to learn. Understanding how the brain's activity can be ""flexed"" during learning could eventually be used to develop better treatments for stroke and other brain injuries. ""We found that the brain works in a similar way during learning.","These alternative explanations did reveal interesting secondary aspects of the data; they partially explained within-category differences in learnability, albeit in an idiosyncratic manner between the two monkeys (Extended Data Fig.","Understanding how the brain's activity can be ""flexed"" during learning could eventually be used to develop better treatments for stroke and other brain injuries.",,0.4054730832576751,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: As reported in Nature, the researchers found for the first time that there are limitations on how adaptable the brain is during learning and that these restrictions are a key determinant for whether a new skill will be easy or difficult to learn. Understanding how the brain\'s activity can be  flexed  during learning could eventually be used to develop better treatments for stroke and other brain injuries.  We found that the brain works in a similar way during learning."">Understanding how the brain\'s activity can be ""flexed"" during learning could eventually be used to develop better treatments for stroke and other brain injuries.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We conclude from these analyses that the parsimonious explanation for BCI learning is whether or not the new control space is within the intrinsic manifold. These alternative explanations did reveal interesting secondary aspects of the data; they partially explained within-category differences in learnability, albeit in an idiosyncratic manner between the two monkeys (Extended Data Fig. Although our estimate of the intrinsic manifold can depend on several methodological factors (Extended Data Fig."">These alternative explanations did reveal interesting secondary aspects of the data; they partially explained within-category differences in learnability, albeit in an idiosyncratic manner between the two monkeys (Extended Data Fig.</span>'}",Medicine_6
51718922,Correlation Between Sleep Quality and Depressive Score,13,3,http://ct.moreover.com/?a=34634204738&p=1pl&v=1&x=GZ7D3xt9Fp7_9IgR9S1Qrg,17,10.1001/jamapsychiatry.2018.1941,"We note that only 2 of the 123 items in the Adult Self Report questionnaire, which are used to calculate the Depressive Problems Score, are on the topic of sleep quality, and so these are unlikely to account for the correlations in this study. Although participants of the HCP data set were not selected to have a psychiatric disorder and most are healthy control participants, the Depressive Problems raw score was a useful indicator of depression, in that 92 participants who reported having been diagnosed with a major depressive episode also had significantly higher scores on this measure. This data set included 8718 participants.","Researchers believe it is the first time the neural mechanisms underlying the association of depression and sleep have been studied in a large sample. ""These findings provide a neural basis for understanding how depression relates to poor sleep quality, and this in turn has implications for treatment of depression and improvement of sleep quality because of the brain areas identified."" ""This study may also have implications for a deeper understanding of depression,"" he said.","Although participants of the HCP data set were not selected to have a psychiatric disorder and most are healthy control participants, the Depressive Problems raw score was a useful indicator of depression, in that 92 participants who reported having been diagnosed with a major depressive episode also had significantly higher scores on this measure.","""This study may also have implications for a deeper understanding of depression,"" he said.",,0.4334310889244079,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Researchers believe it is the first time the neural mechanisms underlying the association of depression and sleep have been studied in a large sample.  These findings provide a neural basis for understanding how depression relates to poor sleep quality, and this in turn has implications for treatment of depression and improvement of sleep quality because of the brain areas identified.   This study may also have implications for a deeper understanding of depression,  he said."">""This study may also have implications for a deeper understanding of depression,"" he said.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We note that only 2 of the 123 items in the Adult Self Report questionnaire, which are used to calculate the Depressive Problems Score, are on the topic of sleep quality, and so these are unlikely to account for the correlations in this study. Although participants of the HCP data set were not selected to have a psychiatric disorder and most are healthy control participants, the Depressive Problems raw score was a useful indicator of depression, in that 92 participants who reported having been diagnosed with a major depressive episode also had significantly higher scores on this measure. This data set included 8718 participants."">Although participants of the HCP data set were not selected to have a psychiatric disorder and most are healthy control participants, the Depressive Problems raw score was a useful indicator of depression, in that 92 participants who reported having been diagnosed with a major depressive episode also had significantly higher scores on this measure.</span>'}",Medicine_7
9501615,Abstract,0,8,http://www.ibtimes.com/african-elephants-becoming-extinct-more-mammals-killed-poachers-born-annually-study-shows-1662542,5,10.1073/pnas.1403984111,"In contrast to the rest of Africa, our analysis corroborates that Central African forest elephants experienced decline throughout the last decade. These results provide the most comprehensive assessment of illegal ivory harvest to date and confirm that current ivory consumption is not sustainable. Further, our approach provides a powerful basis to determine cryptic mortality and gain understanding of the demography of at-risk species.","""If this is sustained, then we will see significant declines over time,"" said Julian Blanc, who worked on the study titled, ""Proceedings of the National Academy of Sciences."" At this rate, elephants could be extinct in 100 years. ""There are still healthy growing populations in parts of Africa -- Botswana, for example.",These results provide the most comprehensive assessment of illegal ivory harvest to date and confirm that current ivory consumption is not sustainable.,"At this rate, elephants could be extinct in 100 years.",,0.4122591614723205,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  If this is sustained, then we will see significant declines over time,  said Julian Blanc, who worked on the study titled,  Proceedings of the National Academy of Sciences.  At this rate, elephants could be extinct in 100 years.  There are still healthy growing populations in parts of Africa -- Botswana, for example."">At this rate, elephants could be extinct in 100 years.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In contrast to the rest of Africa, our analysis corroborates that Central African forest elephants experienced decline throughout the last decade. These results provide the most comprehensive assessment of illegal ivory harvest to date and confirm that current ivory consumption is not sustainable. Further, our approach provides a powerful basis to determine cryptic mortality and gain understanding of the demography of at-risk species."">These results provide the most comprehensive assessment of illegal ivory harvest to date and confirm that current ivory consumption is not sustainable.</span>'}",Medicine_8
364558,Rationale for asking permission,24,0,http://ct.moreover.com/?a=33741021016&p=1pl&v=1&x=JxtI4EUDwJDHNI7Kh9o-4g,0,10.1136/bmjopen-2015-008566,"In addition, on a purely practical level, gaining permission enables a device to be used openly, facilitating a ""…better quality recording"" (interviewee 14). Use of recording Those interviewed described four distinct uses of the recordings. The ability to share the recording with others was very important to many individuals.","1 in 5 patients no strangers to covertly recording medical visits

Twenty-six percent of patients admitted to secretly recording their clinicians or knowing someone who did, according to a survey published in BMJ Open. Out of 130 survey respondents, 128 answered questions regarding their experience and views on these covert recordings. Here are three survey findings.",Use of recording Those interviewed described four distinct uses of the recordings.,"1 in 5 patients no strangers to covertly recording medical visits

Twenty-six percent of patients admitted to secretly recording their clinicians or knowing someone who did, according to a survey published in BMJ Open.",,0.4149728417396545,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 1 in 5 patients no strangers to covertly recording medical visits\n\nTwenty-six percent of patients admitted to secretly recording their clinicians or knowing someone who did, according to a survey published in BMJ Open. Out of 130 survey respondents, 128 answered questions regarding their experience and views on these covert recordings. Here are three survey findings."">1 in 5 patients no strangers to covertly recording medical visits\n\nTwenty-six percent of patients admitted to secretly recording their clinicians or knowing someone who did, according to a survey published in BMJ Open.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In addition, on a purely practical level, gaining permission enables a device to be used openly, facilitating a  …better quality recording  (interviewee 14). Use of recording Those interviewed described four distinct uses of the recordings. The ability to share the recording with others was very important to many individuals."">Use of recording Those interviewed described four distinct uses of the recordings.</span>'}",Medicine_9
