Paper ID,Section,Paragraph ID,Line ID,News URL,News ID,DOI,Paper Context,News Context,Paper Finding,News Finding,Matching?,Similarity score,text,id
1631641,Experiment 4,29,2,http://www.sciencedaily.com/releases/2014/04/140417090838.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29,16,10.1111/desc.12179,"If repetitions of the visual target lead, more slowly, to robust representation of the target, then search times in the Silent condition should improve from first to second half. The principal effect of labels may be that they shortcut visual learning from repeated presentations. Ten additional children were recruited but not included in the final sample due to refusal to participate in the study (N = 5), selecting a non-target object on most test trials and thereby not meeting the criterion of at least two correct responses per distractor set size (N = 3), not finishing the familiarization phase (N = 1) and experimenter error (N = 1).","Vales said their research results ""begin to tell us precisely how words help, the kinds of cognitive processes words tap into to change how children behave. For instance, the difference between search times, with and without naming the target object, indicate a key role for a kind of brief visual memory known as working memory, that helps us remember what we just saw as we look to something new. Words put ideas in working memory faster than images.""",The principal effect of labels may be that they shortcut visual learning from repeated presentations.,"For instance, the difference between search times, with and without naming the target object, indicate a key role for a kind of brief visual memory known as working memory, that helps us remember what we just saw as we look to something new.",,0.42376309633255,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Vales said their research results  begin to tell us precisely how words help, the kinds of cognitive processes words tap into to change how children behave. For instance, the difference between search times, with and without naming the target object, indicate a key role for a kind of brief visual memory known as working memory, that helps us remember what we just saw as we look to something new. Words put ideas in working memory faster than images. "">For instance, the difference between search times, with and without naming the target object, indicate a key role for a kind of brief visual memory known as working memory, that helps us remember what we just saw as we look to something new.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: If repetitions of the visual target lead, more slowly, to robust representation of the target, then search times in the Silent condition should improve from first to second half. The principal effect of labels may be that they shortcut visual learning from repeated presentations. Ten additional children were recruited but not included in the final sample due to refusal to participate in the study (N = 5), selecting a non-target object on most test trials and thereby not meeting the criterion of at least two correct responses per distractor set size (N = 3), not finishing the familiarization phase (N = 1) and experimenter error (N = 1)."">The principal effect of labels may be that they shortcut visual learning from repeated presentations.</span>'}",Psychology_0
146892432,Manipulation,25,2,http://feedproxy.google.com/~r/TechnologyOrg/~3/KIPqQyrnyiA/,32,10.1093/jcr/ucw012,"An analysis of variance (ANOVA) on perceptions of whether the ad was matched to the participant's information revealed a significant effect of condition (F(2, 185) ¼ 5.87, p < .01, g 2 ¼ .06). Bonferroni-adjusted contrasts revealed that participants in the behaviorally targeted condition (M ¼ 4.35) believed that the advertisement was matched to information collected about them during the study session more than participants in the nontargeted condition (M ¼ 3.50; F(1, 185) ¼ 11.73, p < .001, g 2 ¼ .06) but not more than those in the demographic targeting condition (M ¼ 3.95; F(1, 185) ¼ 2.57, p ¼ .11). Participants in the demographic targeting condition also believed the ad was matched to their information to a marginally greater extent than those in the nontargeted condition (F(1, 185) ¼ 3.27, p ¼ .07, g 2 ¼ .02), indicating that our manipulations were successful.","One key qualification: The information the behaviorally targeted ad conveys about the consumer must be accurate. ""The ad has to be plausible to the consumer for it have any effect,"" Reczek said. While the advertising industry has been reluctant to tout its use of targeted ads because of privacy concerns, this research suggests there may be benefits for companies that indicate to consumers that they are sending ads meant specifically for them.","Bonferroni-adjusted contrasts revealed that participants in the behaviorally targeted condition (M ¼ 4.35) believed that the advertisement was matched to information collected about them during the study session more than participants in the nontargeted condition (M ¼ 3.50; F(1, 185) ¼ 11.73, p < .001, g 2 ¼ .06) but not more than those in the demographic targeting condition (M ¼ 3.95; F(1, 185) ¼ 2.57, p ¼ .11).","""The ad has to be plausible to the consumer for it have any effect,"" Reczek said.",,0.4218960702419281,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: One key qualification: The information the behaviorally targeted ad conveys about the consumer must be accurate.  The ad has to be plausible to the consumer for it have any effect,  Reczek said. While the advertising industry has been reluctant to tout its use of targeted ads because of privacy concerns, this research suggests there may be benefits for companies that indicate to consumers that they are sending ads meant specifically for them."">""The ad has to be plausible to the consumer for it have any effect,"" Reczek said.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: An analysis of variance (ANOVA) on perceptions of whether the ad was matched to the participant\'s information revealed a significant effect of condition (F(2, 185) ¼ 5.87, p < .01, g 2 ¼ .06). Bonferroni-adjusted contrasts revealed that participants in the behaviorally targeted condition (M ¼ 4.35) believed that the advertisement was matched to information collected about them during the study session more than participants in the nontargeted condition (M ¼ 3.50; F(1, 185) ¼ 11.73, p < .001, g 2 ¼ .06) but not more than those in the demographic targeting condition (M ¼ 3.95; F(1, 185) ¼ 2.57, p ¼ .11). Participants in the demographic targeting condition also believed the ad was matched to their information to a marginally greater extent than those in the nontargeted condition (F(1, 185) ¼ 3.27, p ¼ .07, g 2 ¼ .02), indicating that our manipulations were successful."">Bonferroni-adjusted contrasts revealed that participants in the behaviorally targeted condition (M ¼ 4.35) believed that the advertisement was matched to information collected about them during the study session more than participants in the nontargeted condition (M ¼ 3.50; F(1, 185) ¼ 11.73, p < .001, g 2 ¼ .06) but not more than those in the demographic targeting condition (M ¼ 3.95; F(1, 185) ¼ 2.57, p ¼ .11).</span>'}",Psychology_1
8127506,Age at First Birth and Education,7,3,http://www.hngn.com/articles/47780/20141031/births-of-first-and-second-child-bring-parents-more-happiness-than-the-third-but-why.htm,13,10.1007/s13524-014-0321-x,"Moreover, those with low SES may have different expectations for how childbearing affects the lives of parents or may have larger kin networks, even though these factors do not necessarily turn into more instrumental support . Higher prebirth education and income may also imply higher opportunity costs to childbearing. Part of the stronger dip may also be due to a larger anticipation effect.","Instead, this may reflect that the experience of parenthood is less novel and exciting by the time the third child is born or that a larger family puts extra pressure on the parents' resources. Study co-author Rachel Margolis implied that their findings could explain why most people are delaying fertility. Older parents have better financial and education status than younger parents and are also less stressed after the birth of their children.",Higher prebirth education and income may also imply higher opportunity costs to childbearing.,Study co-author Rachel Margolis implied that their findings could explain why most people are delaying fertility.,,0.4456533789634704,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Instead, this may reflect that the experience of parenthood is less novel and exciting by the time the third child is born or that a larger family puts extra pressure on the parents\' resources. Study co-author Rachel Margolis implied that their findings could explain why most people are delaying fertility. Older parents have better financial and education status than younger parents and are also less stressed after the birth of their children."">Study co-author Rachel Margolis implied that their findings could explain why most people are delaying fertility.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Moreover, those with low SES may have different expectations for how childbearing affects the lives of parents or may have larger kin networks, even though these factors do not necessarily turn into more instrumental support . Higher prebirth education and income may also imply higher opportunity costs to childbearing. Part of the stronger dip may also be due to a larger anticipation effect."">Higher prebirth education and income may also imply higher opportunity costs to childbearing.</span>'}",Psychology_2
8127506,Discussion,35,7,http://www.technology.org/2014/08/27/third-child-make-parents-happier/,7,10.1007/s13524-014-0321-x,This theoretical framework is useful for demographers in understanding how the subjective experience of the transition to parenthood can affect parity progression Fig. Standard errors are estimated using robust methods that account for the clustering of data within individuals. The coefficients shown for models with controls II and III are not statistically significantly different from the main model with controls I in any of the models or for men or women.,"""Understanding how having children influences parents' subjective happiness has great potential to explain fertility behavior,"" the scientists say. The study demonstrates that not all children cause equally good emotions. ""We find that the happiness gain around the time of childbirth attenuates with parity, being strongest for the first, lower for the second, and nonpositive for the third child,"" the sociologists report.",Standard errors are estimated using robust methods that account for the clustering of data within individuals.,The study demonstrates that not all children cause equally good emotions.,,0.4218600690364837,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  Understanding how having children influences parents\' subjective happiness has great potential to explain fertility behavior,  the scientists say. The study demonstrates that not all children cause equally good emotions.  We find that the happiness gain around the time of childbirth attenuates with parity, being strongest for the first, lower for the second, and nonpositive for the third child,  the sociologists report."">The study demonstrates that not all children cause equally good emotions.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This theoretical framework is useful for demographers in understanding how the subjective experience of the transition to parenthood can affect parity progression Fig. Standard errors are estimated using robust methods that account for the clustering of data within individuals. The coefficients shown for models with controls II and III are not statistically significantly different from the main model with controls I in any of the models or for men or women."">Standard errors are estimated using robust methods that account for the clustering of data within individuals.</span>'}",Psychology_3
73724377,Limitations,48,3,http://ct.moreover.com/?a=38803735334&p=1pl&v=1&x=Olj8Q_8mSR67vcOaC9l--A,9,10.1186/s13229-018-0246-0,"There could be variations in the inclusion of children with autism in mainstream schools that may have influenced prevalence estimates across the three cities. In three cities, the participation rates of local schools during the screening and diagnostic phases were different. This could be explained by a number of issues.","This collaboration with colleagues in China is so valuable to help us understand what is universal and what is culture-specific in autism research."" In Jilin City, from a total population of 7,258, the team identified 77 cases of autism, equating to a prevalence of 108 per 10,000, very similar to that found in the West. In Shenzhen and Jiamusi cities, only data for children in mainstream education was available; in Shenzhen City, 42 out of every 10,000 children in mainstream education had autism, and in Jiamusi City this figure was 19 per 10,000.","In three cities, the participation rates of local schools during the screening and diagnostic phases were different.","This collaboration with colleagues in China is so valuable to help us understand what is universal and what is culture-specific in autism research.""",,0.4036386609077453,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This collaboration with colleagues in China is so valuable to help us understand what is universal and what is culture-specific in autism research.  In Jilin City, from a total population of 7,258, the team identified 77 cases of autism, equating to a prevalence of 108 per 10,000, very similar to that found in the West. In Shenzhen and Jiamusi cities, only data for children in mainstream education was available; in Shenzhen City, 42 out of every 10,000 children in mainstream education had autism, and in Jiamusi City this figure was 19 per 10,000."">This collaboration with colleagues in China is so valuable to help us understand what is universal and what is culture-specific in autism research.""</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There could be variations in the inclusion of children with autism in mainstream schools that may have influenced prevalence estimates across the three cities. In three cities, the participation rates of local schools during the screening and diagnostic phases were different. This could be explained by a number of issues."">In three cities, the participation rates of local schools during the screening and diagnostic phases were different.</span>'}",Psychology_4
17887677,Goal Difficulty,23,3,http://ct.moreover.com/?a=34292942335&p=1pl&v=1&x=1-4fWurEDhC1FAJAxOp7eg,56,10.1037/0033-2909.90.1.125,"found negative results with a jigsaw puzzle task, although their range of goal difficulty was limited: from medium to hard to very hard (actual probabilities of success were .50, .135, and .026, respectively). The same narrow range of difficulty (very difficult to moderately difficult) may explain the negative results of using a time sheet computation task. However, since no group average even reached the level of the moderate goal, the hard goal may have been totally unrealistic.","You end up splitting your focus over many tasks, losing focus, lowering the quality of your work and taking longer to hit your goals. The 8 percent of people who nail down their goals are smart enough to work on several smaller chunks to complete a big goal. I'd love to hear it.",The same narrow range of difficulty (very difficult to moderately difficult) may explain the negative results of using a time sheet computation task.,The 8 percent of people who nail down their goals are smart enough to work on several smaller chunks to complete a big goal.,,0.5087336301803589,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: You end up splitting your focus over many tasks, losing focus, lowering the quality of your work and taking longer to hit your goals. The 8 percent of people who nail down their goals are smart enough to work on several smaller chunks to complete a big goal. I\'d love to hear it."">The 8 percent of people who nail down their goals are smart enough to work on several smaller chunks to complete a big goal.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: found negative results with a jigsaw puzzle task, although their range of goal difficulty was limited: from medium to hard to very hard (actual probabilities of success were .50, .135, and .026, respectively). The same narrow range of difficulty (very difficult to moderately difficult) may explain the negative results of using a time sheet computation task. However, since no group average even reached the level of the moderate goal, the hard goal may have been totally unrealistic."">The same narrow range of difficulty (very difficult to moderately difficult) may explain the negative results of using a time sheet computation task.</span>'}",Psychology_5
51967644,Discussion,25,2,http://ct.moreover.com/?a=34765487148&p=1pl&v=1&x=ufEabPDBICA34OF2ZCudfA,23,10.1016/j.jalz.2018.06.2856,"AD risk appears to be higher with recent glaucoma diagnosis, perhaps suggesting a common pathway. The risk found in recent glaucoma may be an artifact because the association becomes null when we include all glaucoma diagnoses without the temporal window. However, when we performed sensitivity analyses by varying the recency window, glaucoma had a duration-dependent risk for AD such that glaucoma diagnoses close to the index data had higher HR for AD than glaucoma diagnoses further from the index date ( Supplementary Table 3 ).","""This paper is pointing to a new area of opportunity,"" he said. Note: material may have been edited for length and content. For further information, please contact the cited source.",The risk found in recent glaucoma may be an artifact because the association becomes null when we include all glaucoma diagnoses without the temporal window.,"For further information, please contact the cited source.",,0.5045965313911438,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  This paper is pointing to a new area of opportunity,  he said. Note: material may have been edited for length and content. For further information, please contact the cited source."">For further information, please contact the cited source.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: AD risk appears to be higher with recent glaucoma diagnosis, perhaps suggesting a common pathway. The risk found in recent glaucoma may be an artifact because the association becomes null when we include all glaucoma diagnoses without the temporal window. However, when we performed sensitivity analyses by varying the recency window, glaucoma had a duration-dependent risk for AD such that glaucoma diagnoses close to the index data had higher HR for AD than glaucoma diagnoses further from the index date ( Supplementary Table 3 )."">The risk found in recent glaucoma may be an artifact because the association becomes null when we include all glaucoma diagnoses without the temporal window.</span>'}",Psychology_6
53779979,Discussion,26,5,http://ct.moreover.com/?a=38199144066&p=1pl&v=1&x=PR70GSjRLk3dzNiHIohVjQ,10,10.1001/jamapsychiatry.2018.3514,"Our pooled odds ratios showed that individuals who reported PEs had 2-fold increased odds of subsequent suicidal ideation, 3-fold increased odds of subsequent suicide attempt, and 4-fold increased odds of subsequent suicide death. The mechanisms explaining the association between PEs and suicidal behavior are potentially manifold. However, the content of hallucinations, including the presence of command hallucinations to harm oneself, cannot be said to emerge at random; rather, hallucination content reflects factors present in the thought content of the affected individual.","""These findings show the need both for clinicians to pay particular attention to patients reporting experience of psychotic experience, and for greater funding for research into recognizing a psychosis subtype of suicide,"" he continued. ""If we are to understand suicide, we need to understand a lot more about perceptual abnormalities,"" added doctoral student and co-author Kathryn Yates of RCSI Psychiatry. There are still a lot of unanswered questions, but this research points to new avenues to improve prediction of suicidal behavior.""",The mechanisms explaining the association between PEs and suicidal behavior are potentially manifold.,"""If we are to understand suicide, we need to understand a lot more about perceptual abnormalities,"" added doctoral student and co-author Kathryn Yates of RCSI Psychiatry.",,0.517449140548706,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context:  These findings show the need both for clinicians to pay particular attention to patients reporting experience of psychotic experience, and for greater funding for research into recognizing a psychosis subtype of suicide,  he continued.  If we are to understand suicide, we need to understand a lot more about perceptual abnormalities,  added doctoral student and co-author Kathryn Yates of RCSI Psychiatry. There are still a lot of unanswered questions, but this research points to new avenues to improve prediction of suicidal behavior. "">""If we are to understand suicide, we need to understand a lot more about perceptual abnormalities,"" added doctoral student and co-author Kathryn Yates of RCSI Psychiatry.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our pooled odds ratios showed that individuals who reported PEs had 2-fold increased odds of subsequent suicidal ideation, 3-fold increased odds of subsequent suicide attempt, and 4-fold increased odds of subsequent suicide death. The mechanisms explaining the association between PEs and suicidal behavior are potentially manifold. However, the content of hallucinations, including the presence of command hallucinations to harm oneself, cannot be said to emerge at random; rather, hallucination content reflects factors present in the thought content of the affected individual."">The mechanisms explaining the association between PEs and suicidal behavior are potentially manifold.</span>'}",Psychology_7
54659350,Abstract,0,1,http://www.techtimes.com/articles/27033/20150118/close-your-eyes-for-better-memory-recall.htm,11,10.1111/lcrp.12013,"Closing the eyes during recall can help witnesses remember more about a witnessed event. Eye-closure during the first free-recall attempt had no significant effect on performance during any of the recall attempts. However, eye-closure during the second session increased the amount of correct visual information reported in that session by 36.7% in free recall and by 35.3% in cued recall, without harming testimonial accuracy.","Participants who had not built a rapport with their interrogator said that they felt uncomfortable closing their eyes in both experiments. However, participants who had built a rapport said that they felt more comfortable when they closed their eyes. ""It is clear from our research that closing the eyes and building rapport help with witness recall.",Closing the eyes during recall can help witnesses remember more about a witnessed event.,"However, participants who had built a rapport said that they felt more comfortable when they closed their eyes.",,0.5143325924873352,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Participants who had not built a rapport with their interrogator said that they felt uncomfortable closing their eyes in both experiments. However, participants who had built a rapport said that they felt more comfortable when they closed their eyes.  It is clear from our research that closing the eyes and building rapport help with witness recall."">However, participants who had built a rapport said that they felt more comfortable when they closed their eyes.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Closing the eyes during recall can help witnesses remember more about a witnessed event. Eye-closure during the first free-recall attempt had no significant effect on performance during any of the recall attempts. However, eye-closure during the second session increased the amount of correct visual information reported in that session by 36.7% in free recall and by 35.3% in cued recall, without harming testimonial accuracy."">Closing the eyes during recall can help witnesses remember more about a witnessed event.</span>'}",Psychology_8
481555,Descriptive statistics,20,0,http://www.sciencedaily.com/releases/2013/07/130724102602.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29,15,10.1080/08870446.2013.818674,"This technique provides the range of the moderator within which the simple slope of the dependent variable on the predictor is significantly different from zero . At Tl , the average number of daily smoked cigarettes was 16.59 (SD=8.52, range 1-40) and at T2 on average 5.27 (SD=6.97, range 0-40), showing a significant reduction from T1 to T2 (F(l, 97)=195.67, p=.001). According to the measure of continuous abstinence, 34 (3 2.1%) participants did not smoke between their quit date and T2.","The desired result was only achieved through a combination of individual competences and social support. Of the 99 smokers, 34 persons (32%) said that they had not suffered any relapses since quitting. The biochemical test proved this to be true.","At Tl , the average number of daily smoked cigarettes was 16.59 (SD=8.52, range 1-40) and at T2 on average 5.27 (SD=6.97, range 0-40), showing a significant reduction from T1 to T2 (F(l, 97)=195.67, p=.001).","Of the 99 smokers, 34 persons (32%) said that they had not suffered any relapses since quitting.",,0.5144184827804565,"{'News': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The desired result was only achieved through a combination of individual competences and social support. Of the 99 smokers, 34 persons (32%) said that they had not suffered any relapses since quitting. The biochemical test proved this to be true."">Of the 99 smokers, 34 persons (32%) said that they had not suffered any relapses since quitting.</span>', 'Paper': '<span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This technique provides the range of the moderator within which the simple slope of the dependent variable on the predictor is significantly different from zero . At Tl , the average number of daily smoked cigarettes was 16.59 (SD=8.52, range 1-40) and at T2 on average 5.27 (SD=6.97, range 0-40), showing a significant reduction from T1 to T2 (F(l, 97)=195.67, p=.001). According to the measure of continuous abstinence, 34 (3 2.1%) participants did not smoke between their quit date and T2."">At Tl , the average number of daily smoked cigarettes was 16.59 (SD=8.52, range 1-40) and at T2 on average 5.27 (SD=6.97, range 0-40), showing a significant reduction from T1 to T2 (F(l, 97)=195.67, p=.001).</span>'}",Psychology_9
