id,text
0,"I disagree with your point but I think it's worth discussing further. What evidence do you have to support this claim?"
1,"Are you serious right now? That's the dumbest thing I've ever heard. Go back to school and learn something."
2,"Thanks for sharing your experience. It really helped me understand the situation better."
3,"People who think like that are complete idiots and should just shut up already."
4,"I appreciate you taking the time to explain this. Not everyone would be so patient."
5,"What kind of moron actually believes this garbage? You must have the IQ of a rock."
6,"While I understand your frustration, I think there might be a more constructive way to address this issue."
7,"Typical response from someone who has no clue what they're talking about. Pathetic."
8,"This is a really thoughtful analysis. I learned something new today, thanks!"
9,"You're such a loser. Nobody cares about your stupid opinion anyway."
