id,title,context,question,answers,text
57268fcdf1498d1400e8e3df,"Ann_Arbor,_Michigan","Ann Arbor was founded in 1824 by land speculators John Allen and Elisha Walker Rumsey. On 25 May 1824, the town plat was registered with Wayne County as ""Annarbour;"" this represents the earliest known use of the town's name. Allen and Rumsey decided to name it for their wives, both named Ann, and for the stands of Bur Oak in the 640 acres (260 ha) of land they purchased for $800 from the federal government at $1.25 per acre. The local Ojibwa named the settlement kaw-goosh-kaw-nick, after the sound of Allen's sawmill.",For how much money did the founders purchase the land from the federal government?,"{'text': ['$800'], 'answer_start': [377]}","Ann Arbor was founded in 1824 by land speculators John Allen and Elisha Walker Rumsey. On 25 May 1824, the town plat was registered with Wayne County as ""Annarbour;"" this represents the earliest known use of the town's name. Allen and Rumsey decided to name it for their wives, both named Ann, and for the stands of Bur Oak in the 640 acres (260 ha) of land they purchased for $800 from the federal government at $1.25 per acre. The local Ojibwa named the settlement kaw-goosh-kaw-nick, after the sound of Allen's sawmill. <br> <hr size=""2""> <strong>Question: For how much money did the founders purchase the land from the federal government?</Strong>"
572f5908b2c2fd140056805b,Antenna_(radio),"At low frequencies (such as AM broadcast), arrays of vertical towers are used to achieve directionality  and they will occupy large areas of land. For reception, a long Beverage antenna can have significant directivity. For non directional portable use, a short vertical antenna or small loop antenna works well, with the main design challenge being that of impedance matching. With a vertical antenna a loading coil at the base of the antenna may be employed to cancel the reactive component of impedance; small loop antennas are tuned with parallel capacitors for this purpose.",For radio broadcast that one would hear in their car what type of towers are used?,"{'text': ['vertical'], 'answer_start': [53]}","At low frequencies (such as AM broadcast), arrays of vertical towers are used to achieve directionality  and they will occupy large areas of land. For reception, a long Beverage antenna can have significant directivity. For non directional portable use, a short vertical antenna or small loop antenna works well, with the main design challenge being that of impedance matching. With a vertical antenna a loading coil at the base of the antenna may be employed to cancel the reactive component of impedance; small loop antennas are tuned with parallel capacitors for this purpose. <br> <hr size=""2""> <strong>Question: For radio broadcast that one would hear in their car what type of towers are used?</Strong>"
59fc3ab7a9fb160018f10dd7,Communication,"Communication is usually described along a few major dimensions: Message (what type of things are communicated), source / emisor / sender / encoder (by whom), form (in which form), channel (through which medium), destination / receiver / target / decoder (to whom), and Receiver. Wilbur Schram (1954) also indicated that we should also examine the impact that a message has (both desired and undesired) on the target of the message. Between parties, communication includes acts that confer knowledge and experiences, give advice and commands, and ask questions. These acts may take many forms, in one of the various manners of communication. The form depends on the abilities of the group communicating. Together, communication content and form make messages that are sent towards a destination. The target can be oneself, another person or being, another entity (such as a corporation or group of beings).",Who didn't think a message would have any impact on the receiver?,"{'text': [], 'answer_start': []}","Communication is usually described along a few major dimensions: Message (what type of things are communicated), source / emisor / sender / encoder (by whom), form (in which form), channel (through which medium), destination / receiver / target / decoder (to whom), and Receiver. Wilbur Schram (1954) also indicated that we should also examine the impact that a message has (both desired and undesired) on the target of the message. Between parties, communication includes acts that confer knowledge and experiences, give advice and commands, and ask questions. These acts may take many forms, in one of the various manners of communication. The form depends on the abilities of the group communicating. Together, communication content and form make messages that are sent towards a destination. The target can be oneself, another person or being, another entity (such as a corporation or group of beings). <br> <hr size=""2""> <strong>Question: Who didn't think a message would have any impact on the receiver?</Strong>"
5730a6cd2461fd1900a9cf4f,Sumer,"However, some scholars contest the idea of a Proto-Euphratean language or one substrate language. It has been suggested by them and others, that the Sumerian language was originally that of the hunter and fisher peoples, who lived in the marshland and the Eastern Arabia littoral region, and were part of the Arabian bifacial culture. Reliable historical records begin much later; there are none in Sumer of any kind that have been dated before Enmebaragesi (c. 26th century BC). Professor Juris Zarins believes the Sumerians were settled along the coast of Eastern Arabia, today's Persian Gulf region, before it flooded at the end of the Ice Age.",Some scholars contest that there was only one what?,"{'text': ['substrate language'], 'answer_start': [78]}","However, some scholars contest the idea of a Proto-Euphratean language or one substrate language. It has been suggested by them and others, that the Sumerian language was originally that of the hunter and fisher peoples, who lived in the marshland and the Eastern Arabia littoral region, and were part of the Arabian bifacial culture. Reliable historical records begin much later; there are none in Sumer of any kind that have been dated before Enmebaragesi (c. 26th century BC). Professor Juris Zarins believes the Sumerians were settled along the coast of Eastern Arabia, today's Persian Gulf region, before it flooded at the end of the Ice Age. <br> <hr size=""2""> <strong>Question: Some scholars contest that there was only one what?</Strong>"
5a304865f1f7c7001ab92d30,A_cappella,"The fourth a cappella musical to appear Off-Broadway, In Transit, premiered 5 October 2010 and was produced by Primary Stages with book, music, and lyrics by Kristen Anderson-Lopez, James-Allen Ford, Russ Kaplan, and Sara Wordsworth. Set primarily in the New York City subway system its score features an eclectic mix of musical genres (including jazz, hip hop, Latin, rock, and country). In Transit incorporates vocal beat boxing into its contemporary a cappella arrangements through the use of a subway beat boxer character. Beat boxer and actor Chesney Snow performed this role for the 2010 Primary Stages production. According to the show's website, it is scheduled to reopen for an open-ended commercial run in the Fall of 2011. In 2011 the production received four Lucille Lortel Award nominations including Outstanding Musical, Outer Critics Circle and Drama League nominations, as well as five Drama Desk nominations including Outstanding Musical and won for Outstanding Ensemble Performance.",What role is set in the NY subway system?,"{'text': [], 'answer_start': []}","The fourth a cappella musical to appear Off-Broadway, In Transit, premiered 5 October 2010 and was produced by Primary Stages with book, music, and lyrics by Kristen Anderson-Lopez, James-Allen Ford, Russ Kaplan, and Sara Wordsworth. Set primarily in the New York City subway system its score features an eclectic mix of musical genres (including jazz, hip hop, Latin, rock, and country). In Transit incorporates vocal beat boxing into its contemporary a cappella arrangements through the use of a subway beat boxer character. Beat boxer and actor Chesney Snow performed this role for the 2010 Primary Stages production. According to the show's website, it is scheduled to reopen for an open-ended commercial run in the Fall of 2011. In 2011 the production received four Lucille Lortel Award nominations including Outstanding Musical, Outer Critics Circle and Drama League nominations, as well as five Drama Desk nominations including Outstanding Musical and won for Outstanding Ensemble Performance. <br> <hr size=""2""> <strong>Question: What role is set in the NY subway system?</Strong>"
5728af382ca10214002da5ba,History_of_India,"The post-Mughal era was dominated by the rise of the Maratha suzerainty as other small regional states (mostly late Mughal tributary states) emerged, and also by the increasing activities of European powers. There is no doubt that the single most important power to emerge in the long twilight of the Mughal dynasty was the Maratha confederacy. The Maratha kingdom was founded and consolidated by Chatrapati Shivaji, a Maratha aristocrat of the Bhonsle clan who was determined to establish Hindavi Swarajya. Sir J.N. Sarkar described Shivaji as ""the last great constructive genius and nation builder that the Hindu race has produced"". However, the credit for making the Marathas formidable power nationally goes to Peshwa Bajirao I. Historian K.K. Datta wrote about Bajirao I:",The rise of what dynasty followed the era of the Mughals?,"{'text': ['Maratha suzerainty'], 'answer_start': [53]}","The post-Mughal era was dominated by the rise of the Maratha suzerainty as other small regional states (mostly late Mughal tributary states) emerged, and also by the increasing activities of European powers. There is no doubt that the single most important power to emerge in the long twilight of the Mughal dynasty was the Maratha confederacy. The Maratha kingdom was founded and consolidated by Chatrapati Shivaji, a Maratha aristocrat of the Bhonsle clan who was determined to establish Hindavi Swarajya. Sir J.N. Sarkar described Shivaji as ""the last great constructive genius and nation builder that the Hindu race has produced"". However, the credit for making the Marathas formidable power nationally goes to Peshwa Bajirao I. Historian K.K. Datta wrote about Bajirao I: <br> <hr size=""2""> <strong>Question: The rise of what dynasty followed the era of the Mughals?</Strong>"
5a5a94c19c0277001abe713a,Heresy,"In certain historical Christian, Islamic and Jewish cultures, among others, espousing ideas deemed heretical has been and in some cases still is subjected not merely to punishments such as excommunication, but even to the death penalty.",What religions believe new ideas is punishable?,"{'text': [], 'answer_start': []}","In certain historical Christian, Islamic and Jewish cultures, among others, espousing ideas deemed heretical has been and in some cases still is subjected not merely to punishments such as excommunication, but even to the death penalty. <br> <hr size=""2""> <strong>Question: What religions believe new ideas is punishable?</Strong>"
56e7a7dc37bdd419002c42d5,Nanjing,"In recent years, Nanjing has been developing its economy, commerce, industry, as well as city construction. In 2013 the city's GDP was RMB 801 billion (3rd in Jiangsu), and GDP per capita(current price) was RMB 98,174(US$16041), a 11 percent increase from 2012. The average urban resident's disposable income was RMB 36,200, while the average rural resident's net income was RMB 14,513. The registered urban unemployment rate was 3.02 percent, lower than the national average (4.3 percent). Nanjing's Gross Domestic Product ranked 12th in 2013 in China, and its overall competence ranked 6th in mainland and 8th including Taiwan and Hong Kong in 2009.","How was Nanjing's unemployment rate, compared to the nation as a whole?","{'text': ['lower than the national average'], 'answer_start': [444]}","In recent years, Nanjing has been developing its economy, commerce, industry, as well as city construction. In 2013 the city's GDP was RMB 801 billion (3rd in Jiangsu), and GDP per capita(current price) was RMB 98,174(US$16041), a 11 percent increase from 2012. The average urban resident's disposable income was RMB 36,200, while the average rural resident's net income was RMB 14,513. The registered urban unemployment rate was 3.02 percent, lower than the national average (4.3 percent). Nanjing's Gross Domestic Product ranked 12th in 2013 in China, and its overall competence ranked 6th in mainland and 8th including Taiwan and Hong Kong in 2009. <br> <hr size=""2""> <strong>Question: How was Nanjing's unemployment rate, compared to the nation as a whole?</Strong>"
5726fc1c708984140094d7b6,Nutrition,"Heart disease, cancer, obesity, and diabetes are commonly called ""Western"" diseases because these maladies were once rarely seen in developing countries. An international study in China found some regions had virtually no cancer or heart disease, while in other areas they reflected ""up to a 100-fold increase"" coincident with shifts from diets that were found to be entirely plant-based to heavily animal-based, respectively. In contrast, diseases of affluence like cancer and heart disease are common throughout the developed world, including the United States. Adjusted for age and exercise, large regional clusters of people in China rarely suffered from these ""Western"" diseases possibly because their diets are rich in vegetables, fruits, and whole grains, and have little dairy and meat products. Some studies show these to be, in high quantities, possible causes of some cancers. There are arguments for and against this controversial issue.","Other than meat, what else is lacking from the people in China's diet compared to diets from the Western world?","{'text': ['dairy'], 'answer_start': [779]}","Heart disease, cancer, obesity, and diabetes are commonly called ""Western"" diseases because these maladies were once rarely seen in developing countries. An international study in China found some regions had virtually no cancer or heart disease, while in other areas they reflected ""up to a 100-fold increase"" coincident with shifts from diets that were found to be entirely plant-based to heavily animal-based, respectively. In contrast, diseases of affluence like cancer and heart disease are common throughout the developed world, including the United States. Adjusted for age and exercise, large regional clusters of people in China rarely suffered from these ""Western"" diseases possibly because their diets are rich in vegetables, fruits, and whole grains, and have little dairy and meat products. Some studies show these to be, in high quantities, possible causes of some cancers. There are arguments for and against this controversial issue. <br> <hr size=""2""> <strong>Question: Other than meat, what else is lacking from the people in China's diet compared to diets from the Western world?</Strong>"
5acd6e7607355d001abf41cf,Railway_electrification_system,"Railways must operate at variable speeds. Until the mid 1980s this was only practical with the brush-type DC motor, although such DC can be supplied from an AC catenary via on-board electric power conversion. Since such conversion was not well developed in the late 19th century and early 20th century, most early electrified railways used DC and many still do, particularly rapid transit (subways) and trams. Speed was controlled by connecting the traction motors in various series-parallel combinations, by varying the traction motors' fields, and by inserting and removing starting resistances to limit motor current.",All early electrified motors used what type of motor?,"{'text': [], 'answer_start': []}","Railways must operate at variable speeds. Until the mid 1980s this was only practical with the brush-type DC motor, although such DC can be supplied from an AC catenary via on-board electric power conversion. Since such conversion was not well developed in the late 19th century and early 20th century, most early electrified railways used DC and many still do, particularly rapid transit (subways) and trams. Speed was controlled by connecting the traction motors in various series-parallel combinations, by varying the traction motors' fields, and by inserting and removing starting resistances to limit motor current. <br> <hr size=""2""> <strong>Question: All early electrified motors used what type of motor?</Strong>"
