Word	Label	Schema
about	1. Very uncertain	Level-of-Uncertainty
almost	1. Very uncertain	Level-of-Uncertainty
apparent	1. Very uncertain	Level-of-Uncertainty
apparently	1. Very uncertain	Level-of-Uncertainty
appear	1. Very uncertain	Level-of-Uncertainty
appeared	1. Very uncertain	Level-of-Uncertainty
appears	1. Very uncertain	Level-of-Uncertainty
approximately	1. Very uncertain	Level-of-Uncertainty
around	1. Very uncertain	Level-of-Uncertainty
assume	1. Very uncertain	Level-of-Uncertainty
assumed	1. Very uncertain	Level-of-Uncertainty
certain amount	1. Very uncertain	Level-of-Uncertainty
certain extent	1. Very uncertain	Level-of-Uncertainty
certain level	1. Very uncertain	Level-of-Uncertainty
claim	1. Very uncertain	Level-of-Uncertainty
claimed	1. Very uncertain	Level-of-Uncertainty
could	1. Very uncertain	Level-of-Uncertainty
couldn't	1. Very uncertain	Level-of-Uncertainty
doubt	1. Very uncertain	Level-of-Uncertainty
doubtful	1. Very uncertain	Level-of-Uncertainty
essentially	1. Very uncertain	Level-of-Uncertainty
estimate	1. Very uncertain	Level-of-Uncertainty
estimated	1. Very uncertain	Level-of-Uncertainty
feel	1. Very uncertain	Level-of-Uncertainty
felt	1. Very uncertain	Level-of-Uncertainty
frequently	1. Very uncertain	Level-of-Uncertainty
from our perspective	1. Very uncertain	Level-of-Uncertainty
generally	1. Very uncertain	Level-of-Uncertainty
guess	1. Very uncertain	Level-of-Uncertainty
in general	1. Very uncertain	Level-of-Uncertainty
in most cases	1. Very uncertain	Level-of-Uncertainty
in most instances	1. Very uncertain	Level-of-Uncertainty
in our view	1. Very uncertain	Level-of-Uncertainty
indicate	1. Very uncertain	Level-of-Uncertainty
indicated	1. Very uncertain	Level-of-Uncertainty
largely	1. Very uncertain	Level-of-Uncertainty
likely	1. Very uncertain	Level-of-Uncertainty
mainly	1. Very uncertain	Level-of-Uncertainty
may	1. Very uncertain	Level-of-Uncertainty
maybe	1. Very uncertain	Level-of-Uncertainty
might	1. Very uncertain	Level-of-Uncertainty
mostly	1. Very uncertain	Level-of-Uncertainty
often	1. Very uncertain	Level-of-Uncertainty
on the whole	1. Very uncertain	Level-of-Uncertainty
ought	1. Very uncertain	Level-of-Uncertainty
perhaps	1. Very uncertain	Level-of-Uncertainty
plausible	1. Very uncertain	Level-of-Uncertainty
plausibly	1. Very uncertain	Level-of-Uncertainty
possible	1. Very uncertain	Level-of-Uncertainty
possibly	1. Very uncertain	Level-of-Uncertainty
postulate	1. Very uncertain	Level-of-Uncertainty
postulated	1. Very uncertain	Level-of-Uncertainty
presumable	1. Very uncertain	Level-of-Uncertainty
probable	1. Very uncertain	Level-of-Uncertainty
probably	1. Very uncertain	Level-of-Uncertainty
relatively	1. Very uncertain	Level-of-Uncertainty
roughly	1. Very uncertain	Level-of-Uncertainty
seems	1. Very uncertain	Level-of-Uncertainty
should	1. Very uncertain	Level-of-Uncertainty
sometimes	1. Very uncertain	Level-of-Uncertainty
somewhat	1. Very uncertain	Level-of-Uncertainty
suggest	1. Very uncertain	Level-of-Uncertainty
suggested	1. Very uncertain	Level-of-Uncertainty
suppose	1. Very uncertain	Level-of-Uncertainty
suspect	1. Very uncertain	Level-of-Uncertainty
tend to	1. Very uncertain	Level-of-Uncertainty
tends to	1. Very uncertain	Level-of-Uncertainty
typical	1. Very uncertain	Level-of-Uncertainty
typically	1. Very uncertain	Level-of-Uncertainty
uncertain	1. Very uncertain	Level-of-Uncertainty
uncertainly	1. Very uncertain	Level-of-Uncertainty
unclear	1. Very uncertain	Level-of-Uncertainty
unclearly	1. Very uncertain	Level-of-Uncertainty
unlikely	1. Very uncertain	Level-of-Uncertainty
usually	1. Very uncertain	Level-of-Uncertainty
would	1. Very uncertain	Level-of-Uncertainty
broadly	1. Very uncertain	Level-of-Uncertainty
tended to	1. Very uncertain	Level-of-Uncertainty
presumably	1. Very uncertain	Level-of-Uncertainty
suggests	1. Very uncertain	Level-of-Uncertainty
from this perspective	1. Very uncertain	Level-of-Uncertainty
from my perspective	1. Very uncertain	Level-of-Uncertainty
in my view	1. Very uncertain	Level-of-Uncertainty
in this view	1. Very uncertain	Level-of-Uncertainty
in our opinion	1. Very uncertain	Level-of-Uncertainty
in my opinion	1. Very uncertain	Level-of-Uncertainty
to my knowledge	1. Very uncertain	Level-of-Uncertainty
fairly	1. Very uncertain	Level-of-Uncertainty
quite	1. Very uncertain	Level-of-Uncertainty
rather	1. Very uncertain	Level-of-Uncertainty
argue	1. Very uncertain	Level-of-Uncertainty
argues	1. Very uncertain	Level-of-Uncertainty
argued	1. Very uncertain	Level-of-Uncertainty
claims	1. Very uncertain	Level-of-Uncertainty
feels	1. Very uncertain	Level-of-Uncertainty
indicates	1. Very uncertain	Level-of-Uncertainty
supposed	1. Very uncertain	Level-of-Uncertainty
supposes	1. Very uncertain	Level-of-Uncertainty
suspects	1. Very uncertain	Level-of-Uncertainty
postulates	1. Very uncertain	Level-of-Uncertainty
