Category,key,English,Amharic,Esperanto,Kurdish,French,Spanish,Italian,Dutch,Portuguese,Chinese
config,[task_question],How intimate do you think the given tweet is?,How intimate do you think the given tweet is?,How intimate do you think the given tweet is?,How intimate do you think the given tweet is?,À quel point pensez-vous que ce «tweet» est intime ?,¿Qué nivel de intimidad crees que tiene este tuit?,Quanto pensi che sia intimo questo tweet?,How intiem is deze tweet volgens jou?,Quão íntimo você acha que esse tweet é?,你觉得这一条推特有多亲密?
config,[min_label],Not intimate at all,Not intimate at all,Not intimate at all,Not intimate at all,Pas intime du tout,Nada íntimo,Non intimo,Helemaal niet intiem,Nada íntimo,完全不亲密
config,[max_label],Very intimate,Very intimate,Very intimate,Very intimate,Très intime,Muy íntimo,Molto intimo,Heel intiem,Muito íntimo,非常亲密
intro.jsonl,[invalid_tweet],Invalid tweet,Invalid tweet,Invalid tweet,Invalid tweet,Tweet invalide,Tuit inválido,Tweet non valido,,Tweet inválido,
intro.jsonl,[intro_procedure],"In this study, you will rate the intimacy of 50 tweets","In this study, you will rate the intimacy of 50 tweets","In this study, you will rate the intimacy of 50 tweets","In this study, you will rate the intimacy of 50 tweets","Dans cette étude, vous évaluerez l'intimité de 50 «tweets».","En este estudio, se le darán 50 tuits y su trabajo es indicar el nivel de intimidad de cada tuit.",In qusto studio si dovrà annotare il livello di intimità di 50 tweets.  ,In deze studie vragen we je 50 tweets te beoordelen,"Nesse estudo, você vai avaliar a intimidade de 50 tweets.",在这一项研究中，你的任务是对50条推特的亲密度进行打分
intro.jsonl,[intro_intimacy_definition],Intimate tweets can be discussing personal issues or said in a more personal tone. Non-intimate tweets can be discussing public issues or technical terms.,Intimate tweets can be discussing personal issues or said in a more personal tone. Non-intimate tweets can be discussing public issues or technical terms.,Intimate tweets can be discussing personal issues or said in a more personal tone. Non-intimate tweets can be discussing public issues or technical terms.,Intimate tweets can be discussing personal issues or said in a more personal tone. Non-intimate tweets can be discussing public issues or technical terms.,Les «tweets» intimes peuvent discuter de problèmes personnels ou être dits sur un ton plus personnel. Les «tweet» non-intimes peuvent discuter de problèmes d'intérêt publique ou de termes techniques.,Los tuits íntimos pueden tratar temas personales o expresarse en un tono más personal. Los tuits no íntimos pueden tratar asuntos públicos o temas técnicos.,I tweet intimi riguardano questioni personali o essere detti in un tono più personale. I tweet non intimi riguardano questioni pubbliche o questioni tecniche.,"Intieme tweets zijn tweets die persoonlijke dingen bespreken, of een persoonlijke toon hebben. Niet-intieme tweets kunnen algemene dingen of technische zaken beschrijven",Tweets íntimos podem discutir assuntos pessoais ou utilizar um tom mais pessoal. Tweets não-íntimos podem discutir questões públicas ou termos técnicos.,一条“亲密”的推特往往是在讨论一些比较私人的话题，或者在用一种相对更私人化的语气进行表达。一条“不亲密”的推特则往往是在讨论一些公开的议题，或者是一些技术性的内容，等等。
testing.jsonl,[test_question],"This is a test question, please select [test_question_choice].","This is a test question, please select [test_question_choice].","This is a test question, please select [test_question_choice].","This is a test question, please select [test_question_choice].","Ceci est une question test, veuillez sélectionner [test_question_choice].","Esta es una pregunta de prueba, seleccione [test_question_choice].","Questa è una domanda di prova, seleziona [test_question_choice] per favore.","Dit is een testvraag, selecteer het geval [test_question_choice].","Esta é uma pergunta de teste, selecione a opção [test_question_choice], por favor.",这是一个测试问题，请选择 [test_question_choice]。
prolific project title,,Perception of Tweet Intimacy (English),Perception of Tweet Intimacy (English),Perception of Tweet Intimacy (English),Perception of Tweet Intimacy (English),Perception de l'intimité des «tweets» (French),Percepción de la intimidad de los tuits,Precezione dell'intimità di tweets,Perceptie van intimiteit van de Tweet,Percepção da intimidade de Tweet (Portuguese),对于推特亲密度的感知
prolific task description,,"In this study, you will be given 50 tweets in English and you will be asked to answer how intimate do you think each of them is using a score from 1-5. You might see offensive or sexual content in this study. You should be able to finish this study in less than 10 minutes.","In this study, you will be given 50 tweets in English and you will be asked to answer how intimate do you think each of them is using a score from 1-5. You might see offensive or sexual content in this study. You should be able to finish this study in less than 10 minutes.","In this study, you will be given 50 tweets in English and you will be asked to answer how intimate do you think each of them is using a score from 1-5. You might see offensive or sexual content in this study. You should be able to finish this study in less than 10 minutes.","In this study, you will be given 50 tweets in English and you will be asked to answer how intimate do you think each of them is using a score from 1-5. You might see offensive or sexual content in this study. You should be able to finish this study in less than 10 minutes.","Dans cette étude, vous recevrez 50 «tweets» en français et vous devrez indiquer à quel point vous pensez-vous que chacun d'eux est intime en utilisant une échelle de valeurs de 1 à 5. Vous pourriez voir du contenu offensif ou sexuel dans cette étude. Vous devriez être capable de terminer cette étude en moins de 10 minutes.","En este estudio, se le darán 50 tuits en español y se le pedirá que responda qué nivel de intimidad cree que tiene cada uno de ellos, utilizando una puntuación del 1 al 5. Es posible que haya contenido ofensivo o sexual. Debería poder terminar este estudio en menos de 10 minutos.","In questo studio, ti verranno dati 50 tweet in italiano e ti verrà chiesto di annotare il livello di intimità, utilizzando un punteggio da 1 a 5. Potresti vedere contenuti offensivi o sessuali in questo studio. Dovresti riuscire a finire questo studio in meno di 10 minuti.","In deze studie worden je 50 tweets in het Nederlands getoond, en zullen we je vragen hoe inteem je elke tweet vindt, met een schaal van 1 - 5. Het zou kunnen dat je aanstotelijke of sexueel getinte dingen ziet. De studie zou niet langer moeten duren dan 10 minuten.","Nesse estudo, você receberá 50 tweets em Português e você terá que responder quão íntimo você acha cada um deles usando uma pontuação entre 1-5. Você talvez veja conteúdo ofensivo ou sexual nesse estudo. Você deve ser capaz de finalizar esse estudo em menos de 10 minutos.",在这一项研究中，你需要阅读50条推特并对其中每一条的亲密度进行打分。分数为1-5分，1分为完全不亲密，5分为非常亲密。你也许会看到一些有冒犯性的或者比较色情的内容。完成这项研究的时间一般不超过10分钟。
Translator,,Jiaxin,Jiaxin,Jiaxin,Jiaxin,Marie,Maria,Francesco,Maarten,Vitor,Jiaxin
